Kapitel;Titel;FKZ;Zweckbestimmung;Ist 2015 in T€;Soll 2016 in T€;Ansatz 2017 in T€
0101;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;1.969,4;1.989,7;2.031,7
0101;42202;011;Bezüge und Nebenleistungen der beamteten Hilfskräfte;0,0;0,0;0,0
0101;42204;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;29,2;233,7;122,9
0101;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;4,6;5,2;5,2
0101;42702;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0101;42703;011;Beschäftigungsentgelte an geprüfte Rechtskandidatinnen/Rechtskandidaten;0,0;59,4;59,4
0101;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;4.029,0;4.100,9;4.224,9
0101;42802;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;6,8;22,9;11,0
0101;42862;011;Ausbildungsentgelte;35,3;30,1;51,1
0101;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;254,7;528,4
0101;44301;011;Fürsorgeleistungen und Unterstützungen;0,0;0,0;0,0
0101;45301;011;Trennungsgeld und Umzugskostenvergütungen;0,0;20,0;20,0
0101;45302;011;Trennungsgeld und Umzugskostenvergütungen;0,0;0,0;0,0
0101;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;224,4;207,0;363,0
0101;51102;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;0,0;10,0;5,0
0101;51103;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;207,5;327,5;403,0
0101;51108;011;Geschäftsbedarf und Kommunikation, sowie Geräte, Ausstattungsgegenstände, sonstige Gebrauchsgegenstände;0,0;0,0;0,0
0101;51401;011;Verbrauchsmittel, Haltung von Dienstfahrzeugen u. dgl.;108,8;123,0;136,0
0101;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;17,8;21,3;7,9
0101;51801;011;Mieten und Pachten für Grundstücke, Gebäude und Räume;1,7;7,6;9,6
0101;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;132,6;146,5;146,5
0101;51803;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;0,0;0,0;0,0
0101;51899;011;Leasingraten für Chefwagen;52,3;58,0;58,0
0101;52301;011;Erwerb von Kunstgegenständen;2,5;2,5;2,5
0101;52501;011;Aus- und Fortbildung;31,8;36,8;40,0
0101;52504;011;Aus- und Fortbildung;9,2;25,0;19,0
0101;52562;011;Aus- und Fortbildung;3,0;15,3;13,1
0101;52601;011;Gerichts- und ähnliche Kosten;2,8;75,0;75,0
0101;52605;011;Ärztliche Untersuchungen;1,1;1,5;1,5
0101;52606;011;Zeugenentschädigungen;0,0;10,0;10,0
0101;52607;011;Kosten für Sachverständige, Gutachten u. ä.;0,0;0,0;0,0
0101;52608;011;Kosten für Sachverständige, Gutachten u. ä.;0,0;0,0;0,0
0101;52698;011;Kosten für Sachverständige, Gutachten u.ä.;0,0;10,0;10,0
0101;52699;011;Kosten für Sachverständige, Gutachten u.ä.;2,9;30,0;30,0
0101;52701;011;Dienstreisen;24,2;33,0;33,0
0101;52708;011;Dienstreisen;0,0;0,0;0,0
0101;52906;011;Zur Verfügung der Landtagspräsidentin oder des Landtagspräsidenten;14,1;30,0;30,0
0101;53104;013;Abgeltung von Ansprüchen nach dem Urheberrecht;34,2;40,0;40,0
0101;53106;013;Öffentlichkeitsarbeit;360,6;440,0;430,0
0101;53301;011;Leistungen durch Dritte;103,2;160,9;125,9
0101;53302;011;Leistungen durch Dritte;1,1;50,0;20,1
0101;53304;011;Leistungsentgelte;10,2;151,2;0,0
0101;53305;011;Arbeitsmedizinische und sicherheitstechnische Betreuung;11,0;15,0;17,3
0101;53307;011;Leistungen durch Dritte;29,4;30,0;0,0
0101;53308;011;Leistungen durch Dritte;0,0;0,0;0,0
0101;53309;011;Ausgaben aufgrund von Werkverträgen oder anderen Vertragsformen;0,0;0,0;0,0
0101;53403;011;Kosten für die Nutzung externer Informationsdienste, Anbindungen und externer Server-/RZ-Flächen;130,5;152,3;244,2
0101;53406;011;Veranstaltungen des Landtages;58,7;142,0;107,0
0101;53506;011;Minderheiten- und Grenzlandarbeit, Niederdeutsch;18,7;19,7;19,7
0101;53602;012;Beiträge an deutsche Vereine und Gesellschaften;2,7;2,7;2,7
0101;53606;011;Internationale Beziehungen und Parlamentspartnerschaften;13,3;54,1;54,1
0101;53706;153;Einführung in die Arbeit des Landtages;60,2;73,0;73,0
0101;53806;011;Durchführung von Kunstausstellungen;25,0;15,0;15,0
0101;53906;011;Maßnahmen zur Vertiefung der politischen Bildung;0,0;0,0;0,0
0101;54608;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,0;0,0;0,0
0101;54698;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,0;0,0;0,0
0101;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;10,5;7,6;7,6
0101;63201;011;Anteilige Kosten für die Herausgabe des Parlamentsspiegels;4,3;5,0;5,0
0101;67101;011;Erstattung von Werbungskosten im Rahmen von Volksentscheiden;0,0;0,0;205,0
0101;68101;011;Beihilfen an Mitarbeiterinnen und Mitarbeiter der Landtagsfraktionen;0,0;0,0;0,0
0101;68402;019;Leistungen nach §§ 19 und 20 Parteiengesetz;648,2;648,3;648,3
0101;68404;011;An die Hilfskasse der Abgeordneten;0,0;0,0;0,0
0101;68405;011;An die SPD-Fraktion;1.238,1;1.262,9;1.288,1
0101;68406;011;An die CDU-Fraktion;1.300,5;1.391,6;1.353,1
0101;68408;011;An die FDP-Fraktion;645,0;723,0;671,2
0101;68409;011;An die Abgeordneten des SSW;483,7;564,2;506,9
0101;68411;011;An die Fraktion Bündnis 90 / DIE GRÜNEN;879,5;902,5;918,3
0101;68413;011;An die Fraktion PIRATEN;645,0;723,0;671,2
0101;81201;011;Erwerb von Geräten und Ausstattungsgegenständen;78,6;0,0;0,0
0101;81203;011;Erwerb von Geräten und Ausstattungsgegenständen;100,1;78,0;28,0
0101;81204;011;Erwerb von Software;38,1;106,0;87,0
0101;81209;011;Erwerb von Hard- und Software;0,0;0,0;0,0
0101;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";9,3;0,0;0,0
0101;91901;851;Zuführung an die Rücklage für personalwirtschaftliche Maßnahmen;0,0;0,0;0,0
0101;91902;851;Zuführung zu einer Rücklage für Sachausgaben.;0,0;0,0;0,0
0101;91903;851;"Zuführung an die Rücklage ""Leistungen nach §§ 19 und 20 Parteiengesetz""";0,0;0,0;0,0
0101;91904;851;"Zuführung an die Rücklage ""Leistungen an Abgeordnete""";0,0;0,0;0,0
0101;91905;851;"Zuführung an die Rücklage ""Enquete-Kommissionen und Sonderausschüsse""";0,0;0,0;0,0
0101;91908;851;"Zuführung an die Rücklage ""Verfassungsreform""";0,0;0,0;0,0
0101;97201;881;Globale Minderausgaben;0,0;0,0;0,0
0102;11101;011;Gebühren und tarifliche Entgelte;35,0;10,0;20,0
0102;11102;011;Gebühren und sonstige Entgelte gem. § 43 Abs. 4 LDSG;142,7;200,0;200,0
0102;11902;011;Erlöse aus dem Verkauf unbrauchbarer oder entbehrlicher Gegenstände;0,0;0,1;0,1
0102;11903;011;Gemeinkostenerstattungen von Projektfinanzierern;0,0;0,0;0,0
0102;11999;011;Vermischte Einnahmen;0,0;0,1;0,1
0102;23116;011;Zuweisung des Bundes für Projekte o.ä. Maßnahmen;156,6;0,0;0,0
0102;27216;011;Zuweisung der EU für Projekte o.ä. Maßnahmen;49,4;0,0;0,0
0102;28116;011;Zuweisung Dritter für Projekte o.ä. Maßnahmen;0,0;0,0;0,0
0102;35901;851;Entnahme aus der allgemeinen Rücklage;71,5;0,0;0,0
0102;35916;851;"Entnahme aus der Rücklage ""Projekte o.ä. Maßnahmen""";246,2;0,0;0,0
0102;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;662,5;687,2;832,7
0102;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;19,7;5,0;5,0
0102;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;1.158,1;1.142,9;1.408,1
0102;42816;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;350,6;285,3;0,0
0102;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;105,2;105,2
0102;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;25,6;37,0;37,0
0102;51102;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;15,3;18,0;18,0
0102;51116;011;Geschäftsbedarf;3,6;0,0;0,0
0102;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;68,8;66,0;66,0
0102;51801;011;Mieten und Pachten für Grundstücke, Gebäude und Räume;134,8;135,0;135,0
0102;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;4,3;4,5;4,5
0102;52502;011;Aus- und Fortbildung;2,5;8,0;8,0
0102;52504;011;Aus- und Fortbildung;8,3;10,0;10,0
0102;52601;011;Gerichts- und ähnliche Kosten;17,6;1,5;15,0
0102;52604;011;Sitzungsgeld für Personalratsmitglieder;0,0;0,0;0,0
0102;52605;011;Ärztliche Untersuchungen;2,4;0,5;0,5
0102;52699;011;Kosten für Sachverständige, Gutachten u.ä.;0,0;1,5;1,5
0102;52701;011;Dienstreisen;23,2;20,0;28,0
0102;52716;011;Dienstreisen;51,0;0,0;0,0
0102;52901;011;Zur Verfügung der Landesbeauftragten oder des Landesbeauftragten für den Datenschutz;0,5;0,5;0,5
0102;53102;013;Öffentlichkeitsarbeit;11,3;25,0;25,0
0102;53116;011;Öffentlichkeitsarbeit;8,8;0,0;0,0
0102;53301;011;Leistungen durch Dritte;13,4;2,0;10,0
0102;53305;011;Arbeitsmedizinische und sicherheitstechnische Betreuung;2,5;6,0;6,0
0102;53316;011;Leistungen durch Dritte;37,3;0,0;0,0
0102;53402;011;Kosten für die Nutzung externer Datenbanken;14,8;13,0;13,0
0102;54616;011;Vermischte Verwaltungsausgaben;18,2;0,0;0,0
0102;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,7;1,5;1,5
0102;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;5,0;5,0
0102;81202;011;Anwenderprogramme für den Datenschutz;0,0;0,0;0,0
0102;91901;851;Zuführung an die allgemeine Rücklage;0,0;0,0;0,0
0102;91916;851;"Zuführung an die Rücklage ""Projekte o.ä. Maßnahmen""";0,0;0,0;0,0
0102;97201;881;Globale Minderausgabe;0,0;0,0;0,0
0103;35605;851;"Entnahme aus der Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0103;35902;851;Entnahme aus der Rücklage für personalwirtschaftliche Maßnahmen;0,0;0,0;0,0
0103;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;350,6;381,0;381,0
0103;42202;042;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;0,0;68,0;96,8
0103;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;20,0;20,0
0103;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;280,2;460,0;460,0
0103;42802;042;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;0,0;0,0;0,0
0103;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;15,0;52,0
0103;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;10,8;32,7;27,5
0103;51102;042;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;0,0;6,3;0,0
0103;51103;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;11,7;16,7;16,7
0103;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;0,0;2,6;2,6
0103;52502;011;Aus- und Fortbildung;5,2;10,0;13,0
0103;52504;011;Aus- und Fortbildung;0,8;1,5;1,5
0103;52605;011;Ärztliche Untersuchungen;0,1;0,2;0,2
0103;52701;011;Dienstreisen;10,0;8,0;17,0
0103;52901;011;Zur Verfügung der Bürgerbeauftragten oder des Bürgerbeauftragten;1,5;2,0;2,5
0103;53102;013;Öffentlichkeitsarbeit;19,9;7,5;41,7
0103;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,6;2,0;3,0
0103;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0103;81203;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;8,0;8,0
0103;81204;011;Erwerb von Software;0,5;5,0;5,0
0103;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0103;91901;851;Zuführung an die Rücklage für personalwirtschaftliche Maßnahmen;0,0;0,0;0,0
0103;97201;881;Globale Minderausgabe;0,0;0,0;0,0
0104;11999;011;Vermischte Einnahmen;0,0;0,0;0,0
0104;41202;011;Aufwandsentschädigung für die Flüchtlingsbeauftragte oder den Flüchtlingsbeauftragten;11,7;24,0;24,0
0104;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;0,0;74,8;74,8
0104;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,2;0,2
0104;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;126,2;187,0;187,0
0104;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;5,0;13,2
0104;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;1,3;1,6;1,6
0104;51102;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sowie Gebrauchsgegenstände;3,2;5,5;4,0
0104;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;0,0;0,0;0,0
0104;52502;011;Aus- und Fortbildung;0,0;0,8;2,3
0104;52504;011;Aus- und Fortbildung;0,0;0,5;0,5
0104;52606;011;Aufwendungen für die Flüchtlingsbeauftragte oder den Flüchtlingsbeauftragten;0,4;5,0;5,0
0104;52701;011;Dienstreisen;1,0;3,5;3,5
0104;52901;011;Zur Verfügung der Flüchtlingsbeauftragten oder des Flüchtlingsbeauftragten;0,0;0,2;0,2
0104;53102;013;Öffentlichkeitsarbeit;2,7;7,5;6,0
0104;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,0;0,1;0,1
0104;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0104;81202;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0105;11999;011;Vermischte Einnahmen;0,0;0,0;0,0
0105;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;134,0;140,5;146,6
0105;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;217,4;248,6;252,0
0105;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;27,4;37,2
0105;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;1,9;4,8;5,0
0105;51102;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;2,0;3,2;3,2
0105;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;0,0;0,0;0,0
0105;52502;011;Aus- und Fortbildung;0,3;3,7;4,0
0105;52503;011;Aus- und Fortbildung;0,0;1,2;1,2
0105;52602;011;Besondere Aufwendungen für den Landesbeauftragten für Menschen mit Behinderung;14,1;10,5;10,7
0105;52605;011;Ärztliche Untersuchungen;0,0;0,0;0,0
0105;52701;011;Dienstreisen;6,4;5,5;5,7
0105;52901;011;Zur Verfügung der Landesbeauftragten oder des Landesbeauftragten;1,4;1,6;2,0
0105;53102;013;Öffentlichkeitsarbeit;11,0;5,8;11,0
0105;53301;011;Leistungen durch Dritte;19,1;21,0;21,3
0105;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,0;1,6;1,7
0105;81203;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0105;81204;011;Erwerb von Software;0,0;0,0;0,0
0106;12902;011;Einnahmen erzielt durch die oder den Landesbeauftragten für politische Bildung;6,7;9,5;8,0
0106;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;0,0;80,0;83,8
0106;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0106;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;185,0;206,4;288,4
0106;42901;011;Mittel für Tarif- und Besoldungserhöhungen;0,0;8,5;19,4
0106;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;1,9;5,0;8,0
0106;51102;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;0,7;5,0;5,0
0106;52501;011;Aus- und Fortbildung;0,0;1,0;1,0
0106;52502;011;Aus- und Fortbildung;0,0;0,0;0,0
0106;52701;011;Dienstreisen;2,3;2,5;4,0
0106;52901;011;Zur Verfügung der Landesbeauftragten oder des Landesbeauftragten;0,1;0,5;1,0
0106;53901;011;Maßnahmen zur Vertiefung der politischen Bildung;55,8;97,5;280,0
0106;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;0,1;0,7;0,7
0106;81201;011;Erwerb von Geräten und Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0201;11999;011;Vermischte Einnahmen;0,6;0,5;0,5
0201;12401;011;Einnahmen aus Vermietung, Verpachtung und Nutzung;0,0;0,0;0,0
0201;13201;011;Erlöse aus der Veräußerung von Kraftfahrzeugen;0,0;0,0;0,0
0201;35605;851;Entnahme aus der Rücklage Sabbatjahr;0,0;0,0;0,0
0201;35901;851;Entnahme aus der Rücklage;0,0;0,0;0,0
0201;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;4.019,9;4.009,3;4.009,3
0201;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0201;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;944,3;888,5;888,5
0201;42901;011;Ausgaben für Tarif- und Besoldungserhöhungen;0,0;551,7;588,6
0201;44301;841;Fürsorgeleistungen und Unterstützungen;1,7;3,5;3,5
0201;45301;011;Trennungsgeld und Umzugskostenvergütungen;0,0;3,5;3,5
0201;51101;011;Geschäftsbedarf u. Kommunikation sowie Geräte, Ausstattungs- u. Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;63,2;88,1;85,1
0201;51102;011;Geschäftsbedarf u. Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;24,0;55,7;55,7
0201;51401;011;Verbrauchsmittel, Haltung von Dienstkraftfahrzeugen;12,4;22,8;22,8
0201;51701;011;Bewirtschaftung der Grundstücke, Gebäude und Räume;160,8;70,0;20,0
0201;51801;011;Mieten und Pachten für Grundstücke, Gebäude und Räume;222,6;0,0;0,0
0201;51802;011;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;25,6;30,0;30,0
0201;51899;011;Leasingraten für Dienstfahrzeuge;12,3;14,0;14,0
0201;51961;011;Unterhaltung der Grundstücke und baulichen Anlagen;12,8;0,0;0,0
0201;52502;011;Fortbildung der Mitarbeiterinnen und Mitarbeiter;40,7;64,0;64,0
0201;52601;011;Gerichts- und ähnliche Kosten;0,0;42,8;42,8
0201;52605;011;Ärztliche Untersuchungen von Mitarbeiterinnen und Mitarbeitern, Bewerberinnen und Bewerbern;0,5;1,0;1,0
0201;52699;011;Kosten für Sachverständige, Gutachten u.ä.;0,0;60,9;60,9
0201;52701;011;Dienstreisen;26,1;72,0;72,0
0201;52910;011;Zur Verfügung der Präsidentin oder des Präsidenten des Landesrechnungshofs;0,8;1,9;1,9
0201;53301;011;Ausgaben aufgrund von Werkverträgen oder anderer Auftragsformen;4,0;9,0;9,0
0201;53302;011;Entgelte für die Inanspruchnahme von externen Datenbanken;5,7;0,0;0,0
0201;53403;011;Sitzungen und Veranstaltungen im Rahmen des Erfahrungsaustausches unter den Rechnungshöfen;0,6;1,0;1,0
0201;53461;011;Umzugs- und Verlegungskosten des Landesrechnungshofs;48,6;0,0;0,0
0201;54699;011;Vermischte Verwaltungsausgaben, Kassen- und Zahlstellenfehlbeträge;4,7;7,6;7,6
0201;68501;011;Beitrag für European Organisation Of Regional Audit Institutions - Eurorai -;2,0;2,1;2,1
0201;68502;011;Mitgliedsbeitrag an die Kommunale Gemeinschaftsstelle für Verwaltungsmanagement (KGSt);0,0;0,0;3,0
0201;71161;011;Kleine Neu-, Um- und Erweiterungsbauten;0,0;0,0;0,0
0201;81101;011;Erwerb von Dienstfahrzeugen;0,0;0,0;0,0
0201;81201;011;Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen;0,0;0,0;0,0
0201;81202;011;Erwerb von Geräten und sonstigen beweglichen Sachen;34,1;63,0;63,0
0201;81261;011;Erwerb von Geräten und sonstigen beweglichen Sachen;106,5;0,0;0,0
0201;91605;851;"Zuführung an die Rücklage ""Sabbatjahr""";21,6;0,0;0,0
0201;91901;851;Zuführung an Rücklage;0,0;0,0;0,0
0301;11903;011;Ablieferungen aus Nebentätigkeiten;0,0;3,0;3,0
0301;11999;011;Vermischte Einnahmen;4,4;10,0;10,0
0301;28101;011;Kostenbeteiligungen an Veranstaltungen und Bewirtungen;7,7;11,0;11,0
0301;35605;851;"Entnahme aus der Rücklage ""Sabbatjahr""";0,0;0,0;0,0
0301;35901;851;Entnahme aus der Rücklage für Personalausgaben;0,0;0,0;0,0
0301;35902;851;Entnahme aus der Rücklage für Sachausgaben;0,0;0,0;0,0
0301;35903;851;"Entnahme aus der Rücklage für das Projekt ""KoPers""";0,0;0,0;0,0
0301;38201;891;Einnahmen aus Spenden;0,0;0,0;0,0
0301;41201;011;Aufwandsentschädigung für die Minderheitenbeauftragte;11,7;11,8;11,8
0301;42101;011;Bezüge des Ministerpräsidenten;159,9;155,0;155,0
0301;42201;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;6.409,2;5.022,3;5.354,6
0301;42263;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;0,0;1.093,3;1.053,3
0301;42264;011;Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten;1.016,9;1.054,4;994,4
0301;42701;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0301;42704;011;Vergütungen für studentische Hilfskräfte;0,0;0,0;0,0
0301;42764;011;Beschäftigungsentgelte an Vertretungs- und Aushilfskräfte;0,0;0,0;0,0
0301;42801;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;4.317,8;4.003,9;3.985,4
0301;42863;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;0,0;1.127,0;1.487,0
0301;42864;011;Entgelte der Arbeitnehmerinnen und Arbeitnehmer;866,8;686,8;686,8
0301;42901;011;Ausgaben für Tarif- und Besoldungserhöhungen;0,0;1.992,7;1.992,7
0301;44301;011;Fürsorgeleistungen und Unterstützungen;0,5;1,0;1,0
0301;45301;011;Trennungsgeld und Umzugskostenvergütungen;0,2;2,0;2,0
0301;45363;011;Trennungsgeld und Umzugskostenvergütungen;0,0;0,0;0,0
0301;45364;011;Trennungsgeld und Umzugskostenvergütungen;0,0;0,0;0,0
0301;51101;011;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;118,3;150,0;160,0
0301;51401;011;Dienst- und Schutzkleidung;0,3;0,5;0,5
