PGR,Aggregat,Hst.,Zweckbestimmung,FKZ,BKZ,FBZ,Anschlag 2016,VE Anschlag 2016,Anschlag 2017,VE-Anschlag 2017
01.01.02,AUSG.PERS,0010.42221-3,Bezüge planmäßiger Beamten und Richter (Landesbehindertenbeauftragter) ,011,010,925,"83,100",0,"84,050",0
01.01.01,AUSG.PERS,0010.42275-2,Bezüge der planmäßigen Beamten (Ausschussassistenz) ,011,010,925,0,0,0,0
01.01.01,AUSG.PERS,0010.42711-8,Entlohnung von nicht ständig beschäftigten Arbeitskräften ,011,010,,"50,000",0,"50,000",0
01.01.03,AUSG.PERS,0010.42713-4,Zusatzpersonal für Untersuchungsausschüsse  ,011,010,,0,0,0,0
01.01.03,AUSG.PERS,0010.42714-2,Zusatzpersonal für PUA Krankenhausneubau  ,011,010,,0,0,0,0
01.01.03,AUSG.PERS,0010.42715-0,"Zusatzpersonal für PUA ""Anti-Terror-Einsatz""  ",011,010,,0,0,0,0
01.01.03,AUSG.PERS,0010.42716-9,"Zusatzpersonal für PUA ""Sozialbetrugsverdacht""  ",011,010,,0,0,0,0
01.01.01,AUSG.PERS,0010.42801-7,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,010,925,"2,493,190",0,"2,510,560",0
01.01.01,AUSG.PERS,0010.42810-6,Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Altersteilzeit) ,011,010,925,0,0,0,0
01.01.02,AUSG.PERS,0010.42821-1,Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Landesbehindertenbeauftragter) ,011,010,925,"131,600",0,"132,260",0
01.01.02,AUSG.PERS,0010.42822-0,Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Landesbehindertenbeauftragter/Refinanziert) ,011,010,925,0,0,0,0
92.02.01,AUSG.PERS,0010.43201-4,Versorgungsbezüge der Beamten  ,018,900,925,"974,490",0,"997,490",0
01.01.01,AUSG.PERS,0010.43229-4,Versorgungsbezüge der Beamten im einstweiligen Ruhestand ,018,010,925,"25,000",0,0,0
92.02.01,AUSG.PERS,0010.43501-3,Versorgungsbezüge der Angestellten  ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0010.43601-0,Versorgungsbezüge nach dem Bremischen Ruhelohngesetz ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0010.43801-2,Versorgungsbezüge der Arbeitnehmerinnen und Arbeitnehmer ,018,900,925,"56,920",0,"56,930",0
01.01.01,AUSG.PERS,0010.44101-3,"Beihilfen, soweit nicht für Versorgungsempfänger und dgl. ",841,010,928,"41,270",0,"42,510",0
01.01.01,AUSG.PERS,0010.44307-5,Kosten für ärztliche Untersuchungen und Verordnungen  -Einsatz an ADV-Anlagen usw.- ,011,010,,"1,400",0,"1,400",0
92.02.01,AUSG.PERS,0010.44601-5,Beihilfen für Versorgungsempfänger und dgl.  ,018,900,928,"153,530",0,"159,820",0
01.01.01,AUSG.KONSU,0010.51100-3,"Geschäftsbedarf, Kommunikation, Geräte, Aus- stattungs-/Ausrüstungs-/sonst.Gebrauchsgegenstände ",011,010,,"570,000",0,"600,000",0
01.01.01,AUSG.KONSU,0010.51400-2,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.  ",011,010,,"15,000",0,"15,000",0
01.01.01,AUSG.KONSU,0010.51700-1,"Bewirtschaftung der Grundstücke, Gebäude und Räume  ",011,010,,"550,000",0,"580,000",0
01.01.01,AUSG.KONSU,0010.51800-8,Mieten und Pachten  ,011,010,,"570,000",0,"570,000",0
01.01.01,AUSG.KONSU,0010.51850-4,Miet- und Pachtzahlungen an das Sondervermögen Immobilien und Technik ,011,010,,"520,000",0,"520,000",0
01.01.01,AUSG.KONSU,0010.51900-4,Unterhaltung der Grundstücke und baulichen Anlagen  ,011,010,,"40,000",0,"40,000",0
01.01.01,AUSG.KONSU,0010.52503-9,Fortbildung von Bediensteten  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.KONSU,0010.52601-9,Gerichts- und ähnliche Kosten  ,011,010,,"20,000",0,"15,000",0
01.01.01,AUSG.KONSU,0010.52602-7,Kosten für Sachverständige  ,011,010,,"7,500",0,"7,500",0
01.01.01,AUSG.KONSU,0010.52603-5,Kosten für Gutachten und Organisations- untersuchungen ,011,010,,"25,000",0,"25,000",0
01.01.01,AUSG.KONSU,0010.52701-5,Reisekostenvergütungen  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.KONSU,0010.52910-7,Zur besonderen Verfügung des Präsidenten  ,011,010,,"9,000",0,"9,000",0
01.01.01,AUSG.KONSU,0010.52911-5,Zur besonderen Verfügung des Vorstandes  ,011,010,,"30,000",0,"30,000",0
01.01.01,AUSG.KONSU,0010.52912-3,Internationale Jugendbegegnungen  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.KONSU,0010.52913-1,Auslandsbeziehungen und Besuchsaustausch im Rahmen der Städtepartnerschaften ,011,010,,"30,000",0,"20,000",0
01.01.01,AUSG.KONSU,0010.52914-0,Zur Verfügung für Presse- und Öffentlichkeits- arbeit ,013,010,,0,0,0,0
01.01.01,AUSG.KONSU,0010.52915-8,Ausgaben für Bewirtung  ,011,010,,"47,500",0,"47,500",0
01.01.02,AUSG.KONSU,0010.52917-4,Zur Verfügung der Landesbehindertenvertretung  ,011,010,,"20,000",0,"20,000",0
01.01.02,AUSG.KONSU,0010.52918-2,Mittel für Landesteilhabe  ,011,010,,"20,000",0,"20,000",0
01.01.01,AUSG.KONSU,0010.53103-9,Inventarversicherungen  ,011,010,,"8,000",0,"8,000",0
01.01.01,AUSG.KONSU,0010.53110-1,Anteil am Mietausfall von Dritten (Zufahrt zur Garage der Bürgerschaft) ,011,010,,"2,100",0,"2,100",0
01.01.01,AUSG.KONSU,0010.53111-0,Kosten für Anzeigen des Präsidenten  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.KONSU,0010.53112-8,Kosten für Software  ,011,010,,"15,000",0,"7,500",0
01.01.01,AUSG.KONSU,0010.53127-6,Öffentlichkeitsarbeit der Bürgerschaft  ,013,010,,"90,000",0,"70,000",0
01.01.03,AUSG.KONSU,0010.53130-6,Aufwendungen zur Förderung der Wahlbeteiligung an der Bürgerschaftswahl 2015 ,011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.53212-4,Zentrale Berichtserstattung aus Anlass von Parlamentswahlen ,011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.53216-7,"Verfahrenskosten für den Untersuchungsausschuss ""Krankenhauskeime"" ",011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.53217-5,Verfahrenskosten für PUA Krankenhausneubau  ,011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.53218-3,"Verfahrenskosten für PUA ""Anti-Terror-Einsatz""  ",011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.53219-1,"Verfahrenskosten für PUA ""Sozialbetrugsverdacht""  ",011,010,,0,0,0,0
01.01.01,AUSG.KONSU,0010.53261-2,"An Performa Nord, Entgelte für Dienstleistungen  ",012,010,,"14,780",0,"14,760",0
01.01.01,AUSG.KONSU,0010.53272-8,"An Performa Nord, Entgelte für Postdienst- leistungen ",012,010,,"3,200",0,"3,200",0
01.01.01,AUSG.KONSU,0010.53275-2,Entgelte für Telekommunikationsleistungen  ,011,010,,"65,000",0,"65,000",0
01.01.01,AUSG.KONSU,0010.53278-7,Entgelte für Dienstleistungen im Bauwesen  ,011,010,,"15,000",0,"15,000",0
01.01.01,AUSG.KONSU,0010.53280-9,Entgelte für TuI-Dienstleistungen  ,011,010,,"37,000",0,"37,000",0
01.01.03,AUSG.KONSU,0010.53285-0,"An Performa Nord, Entgelte für Dienstleistungen (mandatsbedingte Leistungen) ",011,010,,"34,880",0,"35,830",0
01.01.03,AUSG.KONSU,0010.53290-6,Verfahrenskosten im Rahmen der Tätigkeit von Plenum und Ausschüssen ,011,010,,"25,000",0,"25,000",0
01.01.01,AUSG.KONSU,0010.53909-9,Stellenausschreibungen  ,011,010,,"5,000",0,"5,000",0
01.01.01,AUSG.KONSU,0010.53933-1,Kosten für Lizenzen für Software sowie Wartung und Pflege ,011,010,,"50,000",0,"55,000",0
01.01.01,AUSG.KONSU,0010.53934-0,Kosten für Internet (Wartung und Pflege) ,011,010,,"90,000",0,"20,000",0
01.01.01,AUSG.KONSU,0010.53960-9,Vom Haushalt zu zahlende Umsatzsteuer  ,011,010,,"3,500",0,"3,500",0
01.01.01,AUSG.KONSU,0010.53999-4,Vermischte Verwaltungsausgaben  ,011,010,,300,0,300,0
01.01.01,AUSG.ZINSE,0010.56201-5,Zinszuschüsse für Instandsetzungsdarlehen für das Haus der Bürgerschaft ,011,010,,"46,110",0,"35,020",0
01.01.01,AUSG.ZINSE,0010.56401-8,An das Sondervermögen Immobilien  ,831,010,,0,0,0,0
01.01.01,AUSG.ZINSE,0010.56410-7,Zinszuschüsse für Instandsetzungsdarlehen für das Haus der Bürgerschaft ,011,010,,0,0,0,0
01.01.01,AUSG.KONSU,0010.63220-0,Anteilige Kosten für die Herausgabe des Parlamentsspiegels ,011,010,,"1,300",0,"1,300",0
01.01.01,AUSG.KONSU,0010.66301-6,Zinszuschüsse für Instandsetzungsdarlehen für das Haus der Bürgerschaft ,011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.68450-1,Zahlungen nach dem Parteiengesetz  ,011,010,,"140,000",0,"140,000",0
01.01.03,AUSG.KONSU,0010.68452-8,Mittel für die Fraktionen (§ 40 Brem. Abgeordnetengesetz) ,011,010,,"5,605,450",0,"5,625,450",0
01.01.03,AUSG.KONSU,0010.68457-9,"Mittel für die Fraktionen (§40 Abs.2 S.3 BremAbgG) für den Untersuchungsausschuss ""Krankenhauskeime"" ",011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.68458-7,Mittel für Fraktionen (§ 40 Abs. 2 S. 3 BremAbgG) für PUA Krankenhausneubau ,011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.68459-5,"Mittel für Fraktionen (§ 40 Abs. 2 S. 3 Brem.AbgG) für PUA ""Anti-Terror-Einsatz"" ",011,010,,0,0,0,0
01.01.03,AUSG.KONSU,0010.68460-9,"Mittel für Fraktionen (§ 40 Abs. 2 S. 3 BremAbgG) für PUA ""Sozialbetrugsverdacht"" ",011,010,,0,0,0,0
01.01.01,AUSG.KONSU,0010.68502-8,Mitgliedsbeiträge  ,011,010,,"3,000",0,"3,000",0
01.01.03,AUSG.KONSU,0010.68503-6,Beteiligung an den Kosten des Baltic Sea Parliamentary Conference Secretariat ,011,010,,"4,000",0,"4,000",0
01.01.01,AUSG.INVES,0010.70001-9,Kleine Um- und Erweiterungsbauten sowie größere Instandsetzungen ,011,010,,"20,000",0,"20,000",0
01.01.01,AUSG.INVES,0010.71901-1,Herstellung von Fernmeldeanlagen  ,011,010,,"2,000",0,"2,000",0
01.01.01,AUSG.INVES,0010.71910-0,Sicherungsmaßnahmen in Verwaltungs- gebäuden ,011,010,,"45,000",0,"45,000",0
01.01.01,AUSG.INVES,0010.81201-1,Erwerb von Büromaschinen  ,011,010,,"5,000",0,"5,000",0
01.01.01,AUSG.INVES,0010.81202-0,Erwerb von Inventar  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.INVES,0010.81203-8,Erwerb von Reinigungsmaschinen  ,011,010,,0,0,0,0
01.01.01,AUSG.INVES,0010.81205-4,Erwerb von ADV-Geräten (einschl. Arbeits- platzausstattungen) ,011,010,,"15,000",0,"15,000",0
01.01.01,AUSG.INVES,0010.81210-0,Erwerb von Maschinen und Geräten  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.INVES,0010.81211-9,EDV-gestütztes Parlamentsinformations- und Kommunikationssystem ,011,010,,"13,000",0,"13,000",0
01.01.01,AUSG.INVES,0010.81221-6,Erwerb von Tonaufnahme- und Tonübertra- gungsanlagen ,011,010,,"20,000",0,"20,000",0
01.01.01,AUSG.INVES,0010.81233-0,Erwerb von Softwarelizenzen  ,011,010,,"10,000",0,"10,000",0
01.01.01,AUSG.INVES,0010.88410-1,"An das Sondervermögen Immobilien und Technik, für die Sanierung das Hauses der Bürgerschaft (Tilg.) ",011,010,,"310,000",0,"321,000",0
01.01.01,AUSG.INVES,0010.89310-0,Zuschüsse für die Sanierung des Hauses der Bürgerschaft (Tilgung) ,011,010,,0,0,0,0
01.01.01,AUSG.RUECK,0010.91901-0,Zuführung an die Budgetrücklage  ,851,010,901,0,0,0,0
01.01.01,AUSG.RUECK,0010.91903-7,Zuführung an die investive Budgetrücklage  ,851,010,901,0,0,0,0
01.01.01,AUSG.VINVE,0010.98041-0,"An Hst. 0950/380 41-1, Erstattung von Kosten im Zusammenhang mit der elektr. Arbeitszeiterfassung ",892,010,,0,0,0,0
01.01.01,AUSG.VINVE,0010.98141-7,"An Hst. 0950/381 41-8, Erstattung von Kosten im Zusammenhang mit der elektr. Arbeitszeiterfassung ",892,010,,0,0,0,0
02.01.01,EINN.KONSU,0011.11999-9,Vermischte Einnahmen  ,011,011,,0,,0,
02.01.01,EINN.KONSU,0011.12408-9,Nutzungsentgelte für Behördenparkplätze  ,011,011,,650,,0,
02.01.01,EINN.RUECK,0011.35901-9,Entnahme aus der Budgetrücklage  ,851,011,900,0,,0,
02.01.01,EINN.RUECK,0011.35902-7,Entnahme aus der zweckgebundenen Rücklage für Folgeeffekte der Altersteilzeit ,851,011,900,0,,0,
02.01.01,EINN.RUECK,0011.35903-5,Entnahme aus der investiven Budgetrücklage  ,851,011,900,0,,0,
02.01.01,EINN.EKONS,0011.38601-6,Von Hst. 3011/986 01-2 für die Wahrnehmung von Gemeindeaufgaben ,892,011,,"2,237,080",,"2,237,080",
02.01.01,AUSG.PERS,0011.42201-2,Bezüge planmäßiger Beamten und Richter  ,011,011,925,"2,172,640",0,"2,193,700",0
02.01.01,AUSG.PERS,0011.42209-8,Nachversicherung für ausgeschiedene Beamte  ,011,011,925,"8,950",0,"9,040",0
02.01.01,AUSG.PERS,0011.42275-6,Bezüge planmäßiger Beamten und Richter (Altersteilzeit) ,011,011,925,0,0,0,0
02.01.01,AUSG.PERS,0011.42801-0,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,011,925,"407,200",0,"433,200",0
02.01.01,AUSG.PERS,0011.42875-4,Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Altersteilzeit) ,011,011,925,0,0,0,0
92.02.01,AUSG.PERS,0011.43201-8,Versorgungsbezüge der Beamten  ,018,900,925,"2,116,600",0,"2,127,010",0
92.02.01,AUSG.PERS,0011.43208-5,Ausgleichszahlungen für geschiedene Ehegatten im Rahmen des Versorgungsausgleichs ,018,900,925,"66,750",0,"67,750",0
92.02.01,AUSG.PERS,0011.43501-7,Versorgungsbezüge der Angestellten  ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0011.43601-3,Versorgungsbezüge nach dem Bremischen Ruhelohngesetz ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0011.43801-6,Versorgungsbezüge der Arbeitnehmerinnen und Arbeitnehmer ,018,900,925,"6,630",0,"6,230",0
02.01.01,AUSG.PERS,0011.44101-7,"Beihilfen, soweit nicht für Versorgungsempfänger und dgl. ",841,011,928,"69,350",0,"71,430",0
02.01.01,AUSG.PERS,0011.44307-9,Kosten für ärztliche Untersuchungen und Verordnungen -Einsatz an ADV-Anlagen usw.- ,011,011,,"1,040",0,"1,070",0
92.02.01,AUSG.PERS,0011.44601-9,Beihilfen für Versorgungsempfänger und dgl.  ,018,900,928,"284,460",0,"296,110",0
02.01.01,AUSG.PERS,0011.45301-5,Trennungsgeld und Umzugskostenvergütungen  ,011,011,,360,0,370,0
02.01.01,AUSG.KONSU,0011.51100-7,"Geschäftsbedarf, Kommunikation, Geräte, Aus- stattungs-/Ausrüstungs-/sonst.Gebrauchsgegenstände ",011,011,,"23,000",0,"23,000",0
02.01.01,AUSG.KONSU,0011.51796-0,Fremdleistungen  ,011,011,,"7,000",0,"7,000",0
02.01.01,AUSG.KONSU,0011.51799-4,Sonstige Bewirtschaftungskosten  ,011,011,,"35,000",0,"46,000",0
02.01.01,AUSG.KONSU,0011.51801-0,Mieten und Pachten für Grundstücke  ,011,011,,"157,000",0,"117,000",0
02.01.01,AUSG.KONSU,0011.52503-2,Fortbildung von Bediensteten  ,011,011,924,"20,000",0,"20,000",0
02.01.01,AUSG.KONSU,0011.52600-4,"Sachverständige, Gerichts- und ähnliche Kosten  ",011,011,,"1,000",0,"1,000",0
02.01.01,AUSG.KONSU,0011.52701-9,Reisekostenvergütungen  ,011,011,924,"10,000",0,"10,000",0
02.01.01,AUSG.KONSU,0011.52911-9,Ausgaben für Aufwand aus dienstlicher Veranlassung in besonderen Fällen ,011,011,,"4,000",0,"2,000",0
02.01.01,AUSG.KONSU,0011.53101-6,Kosten für Veröffentlichungen  ,011,011,,"6,000",0,"6,000",0
02.01.01,AUSG.KONSU,0011.53103-2,Inventarversicherungen  ,011,011,,300,0,300,0
02.01.01,AUSG.KONSU,0011.53255-1,"An Immobilien Bremen (AöR), Entgelte für Dienst- leistungen (Innenreinigung) ",011,011,,0,0,0,0
02.01.01,AUSG.KONSU,0011.53261-6,"An Performa Nord, Entgelte für Dienstleistungen  ",012,011,,"8,070",0,"8,100",0
02.01.01,AUSG.KONSU,0011.53272-1,"An Performa Nord, Entgelte für Postdienst- leistungen ",012,011,,"3,500",0,"3,500",0
02.01.01,AUSG.KONSU,0011.53273-0,"An Performa Nord, Entgelte für Dienstreiseabrechnungen ",011,011,,"2,560",0,"3,060",0
02.01.01,AUSG.KONSU,0011.53275-6,Entgelte für Telekommunikationsleistungen  ,011,011,,0,0,0,0
02.01.01,AUSG.KONSU,0011.53280-2,Entgelte für TuI-Dienstleistungen  ,011,011,,0,0,0,0
02.01.01,AUSG.KONSU,0011.53909-2,Stellenausschreibungen  ,011,011,,"1,500",0,"1,500",0
02.01.01,AUSG.KONSU,0011.53910-6,Einführung von VIS.kompakt  ,011,011,,0,0,0,0
02.01.01,AUSG.KONSU,0011.53920-3,Umzugskosten  ,011,011,,"34,170",0,0,0
02.01.01,AUSG.KONSU,0011.53999-8,Vermischte Verwaltungsausgaben  ,011,011,,100,0,100,0
02.01.01,AUSG.INVES,0011.70001-2,"Kleine Um- und Erweiterungsbauten, größere Instandsetzungen ",011,011,,0,0,0,0
02.01.01,AUSG.INVES,0011.81202-3,Erwerb von Geräten und sonstigen beweglichen Sachen ,011,011,,"84,000",0,"10,000",0
02.01.01,AUSG.INVES,0011.81205-8,Erwerb von ADV-Geräten (einschl. Arbeits- platzausstattungen) ,011,011,,0,0,0,0
02.01.01,AUSG.RUECK,0011.91901-4,Zuführung an die Budgetrücklage  ,851,011,901,0,0,0,0
02.01.01,AUSG.RUECK,0011.91903-0,Zuführung an die investive Budgetrücklage  ,851,011,901,0,0,0,0
02.01.01,AUSG.VINVE,0011.98041-4,"An Hst. 0950/380 41-1, Erstattung von Kosten im Zusammenhang mit der elektr. Arbeitszeiterfassung ",892,011,,0,0,0,0
02.01.01,AUSG.VINVE,0011.98141-0,"An Hst. 0950/381 41-8, Erstattung von Kosten im Zusammenhang mit der elektr. Arbeitszeiterfassung ",892,011,,"1,550",0,"1,550",0
09.01.01,EINN.KONSU,0012.11900-3,Sonstige Verwaltungseinnahmen  ,051,180,,0,,0,
09.01.01,EINN.RUECK,0012.35901-2,Entnahme aus der Budgetrücklage  ,851,180,900,0,,0,
09.01.01,AUSG.PERS,0012.45910-6,Aufwandsentschädigung der Mitglieder des Staatsgerichtshofes ,051,180,,"40,600",0,"41,010",0
09.01.01,AUSG.KONSU,0012.51100-0,"Geschäftsbedarf, Kommunikation, Geräte, Aus- stattungs-/Ausrüstungs-/sonst.Gebrauchsgegenstände ",051,180,,"3,800",0,"3,800",0
09.01.01,AUSG.KONSU,0012.52600-8,"Sachverständige, Gerichts- und ähnliche Kosten  ",051,180,,0,0,0,0
09.01.01,AUSG.KONSU,0012.52700-4,Dienstreisen  ,051,180,,"1,160",0,"1,160",0
09.01.01,AUSG.KONSU,0012.53110-9,Veröffentlichung von Entscheidungen des Staatsgerichtshofes ,051,180,,20,0,20,0
09.01.01,AUSG.KONSU,0012.53900-2,Sonstige sächliche Verwaltungsausgaben  ,051,180,,20,0,20,0
09.01.01,AUSG.KONSU,0012.53911-8,Tagung der Präsidentinnen und Präsidenten der Staats- bzw. Verfassungsgerichtshöfe ,019,180,,0,0,0,0
09.01.01,AUSG.RUECK,0012.91901-8,Zuführung an die Budgetrücklage  ,851,180,900,0,0,0,0
03.01.01,EINN.KONSU,0020.11909-8,Von Dritten für Veröffentlichungen  ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.11989-6,Abführungen von Vergütungen aus Nebentätigkeiten bzw. Nebenbeschäftigungen ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.11999-3,Vermischte Einnahmen  ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.23112-2,Besoldung refinanzierter Beamter  ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.23602-7,Erstattung von Krankenkassen nach dem Aufwendungs- ausgleichsgesetz ,011,020,925,0,,0,
03.01.01,EINN.KONSU,0020.26110-2,Von Dritten für verauslagte Veranstaltungskosten u.ä. ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.28100-6,Von Dritten für verauslagte Personalkosten  ,011,020,,0,,0,
03.01.01,EINN.KONSU,0020.28110-3,Von Dritten für Personal- und Beihilfekosten  ,011,020,,0,,0,
03.01.01,EINN.RUECK,0020.35901-3,Entnahme aus der Budgetrücklage  ,851,020,900,0,,0,
03.01.01,EINN.RUECK,0020.35902-1,Entnahme aus der zweckgebundenen Rücklage für Folgeeffekte der Altersteilzeit ,851,020,900,0,,0,
03.01.01,EINN.RUECK,0020.35903-0,Entnahme aus der investiven Budgetrücklage  ,851,020,900,0,,0,
03.01.01,EINN.EKONS,0020.38601-0,Von Hst. 3020/986 01-7 für die Wahrnehmung von Gemeindeaufgaben ,892,020,,"5,506,200",,"5,506,200",
03.01.01,AUSG.PERS,0020.42101-0,Amtsbezüge und Aufwandsentschädigungen der Mitglieder des Senats ,011,020,925,"1,272,330",0,"1,284,050",0
03.01.01,AUSG.PERS,0020.42201-7,Bezüge planmäßiger Beamter und Richter  ,011,020,925,"1,279,530",0,"1,259,870",0
03.01.01,AUSG.PERS,0020.42209-2,Nachversicherung für ausgeschiedene Beamte  ,012,020,925,"10,000",0,"10,100",0
03.01.01,AUSG.PERS,0020.42275-0,Bezüge planmäßiger Beamten und Richter (Altersteilzeit) ,011,020,,0,0,0,0
03.01.01,AUSG.PERS,0020.42276-9,Bezüge planmäßiger Beamte (refinanziert)  ,011,020,925,0,0,0,0
03.01.01,AUSG.PERS,0020.42277-7,Bezüge planmäßiger Beamten und Richter -temporäre Personalmittel- ,011,020,925,"150,000",0,"150,000",0
03.01.01,AUSG.PERS,0020.42711-6,Entlohnung von nicht ständig beschäftig- ten Arbeitskräften ,011,020,,"39,990",0,"40,390",0
03.01.01,AUSG.PERS,0020.42801-5,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,020,925,"1,772,350",0,"1,745,140",0
03.01.01,AUSG.PERS,0020.42875-9,Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Altersteilzeit) ,011,020,925,0,0,0,0
03.01.01,AUSG.PERS,0020.42877-5,Entgelte der Arbeitnehmerinnen und Arbeitnehmer -temporäre Personalmittel- ,011,020,925,"100,000",0,"100,000",0
03.01.01,AUSG.PERS,0020.42878-3,"Entgelte der Arbeitnehmerinnen und Arbeitnehmer (TPM Aufnahme und Integration von Flüchtlingen, 3. Sofortprogramm)",011,020,925,0,0,0,0
92.02.01,AUSG.PERS,0020.43101-6,"Versorgungsbezüge der Bürgermeister, Senatoren und sonstiger Amtsträger ",018,900,925,"3,000,000",0,"3,000,000",0
92.02.01,AUSG.PERS,0020.43201-2,Versorgungsbezüge der Beamten  ,018,900,925,"1,944,790",0,"1,964,260",0
92.02.01,AUSG.PERS,0020.43208-0,Ausgleichszahlungen für geschiedene Ehegatten im Rahmen des Versorgungsausgleichs ,018,900,925,"70,520",0,"71,580",0
92.02.01,AUSG.PERS,0020.43501-1,Versorgungsbezüge der Angestellten  ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0020.43601-8,Versorgungsbezüge nach dem Bremischen Ruhelohngesetz ,018,900,925,0,0,0,0
92.02.01,AUSG.PERS,0020.43801-0,Versorgungsbezüge der Arbeitnehmerinnen und Arbeitnehmer ,018,900,925,"42,040",0,"40,100",0
03.01.01,AUSG.PERS,0020.44101-1,"Beihilfen, soweit nicht für Versorgungsempfänger und dgl. ",841,020,928,"66,840",0,"68,850",0
