Kapitel,Name
3056,Migrationsamt
3057,Ordnungsamt
3058,Bürgeramt
0010,Bremische Bürgerschaft
0011,Rechnungshof der Freien Hansestadt Bremen
0012,Staatsgerichtshof
0020,Senat und Senatskanzlei
0028,Die Bevollmächtigte der Freien Hansestadt Bremen beim Bund und Europa
0029,Landesbeauftragte für Datenschutz und Informationsfreiheit
0045,Zentralstelle für die Verwirklichung der Gleichberechtigung der Frau
0100,Behörde d. Sen. für Justiz und Verfassung
0101,Allgemeine Bewilligungen für Justiz und Verfassung
0102,Soziale Dienste der Justiz
0110,Generalstaatsanwaltschaft Bremen
0111,Staatsanwaltschaft Bremen
0120,Justizvollzugsanstalt Bremen
0130,Hanseatisches Oberlandesgericht
0131,Landgericht Bremen
0132,Amtsgericht Bremen
0133,Amtsgericht Bremerhaven
0134,Amtsgericht Bremen-Blumenthal
0141,Justizprüfungsamt
0150,Landesarbeitsgericht
0151,Arbeitsgericht Bremen-Bremerhaven
0160,Finanzgericht
0170,Landessozialgericht Niedersachsen - Bremen
0171,Sozialgericht
0180,Oberverwaltungsgericht
0181,Verwaltungsgericht
0300,"Behörde d. Sen. für Wirtschaft, Arbeit und Häfen (Arbeit)"
0301,Allgemeine Bewilligungen für Arbeit
0304,Ausgleichsabgaben
0305,Beschäftigungspolitisches Aktionsprogramm (BAP)
0306,Arbeitsförderung im Land Bremen
0307,"Kriegsopferfürsorge, Leistungen nach dem BVG, SVG, ZDG und OEG"
0308,Förderungen aus dem europäischen Sozialfonds (ESF)
0331,Amt für Versorgung und Integration Bremen
0400,"Behörde d. Sen. für Soziales, Jugend, Frauen, Integration und Sport"
0401,Allgemeine Bewilligungen für Soziales
0402,Allgemeine Bewilligungen für Jugend
0408,Sonstige Sozialleistungen
0410,Sozialhilfeleistungen
0411,Leistungen für Asylbewerber in betreuten Aufnahmeeinrichtungen
0451,Allgemeine Bewilligungen für Integration
0601,Allgemeine Bewilligungen für Umwelt
0627,Umwelt- und Hochwasserschutz
0628,Abwasserabgabe
0629,Wasserentnahmegebühr
0680,"Behörde d. Sen. für Umwelt, Bau und Verkehr"
0681,Allgemeine Bewilligungen für Bau und Verkehr
0682,Landesamt für GeoInformation
0683,GeoInformation (BgA) Vermessung
0684,GeoInformation (BgA) Gutachterausschuss
0685,GeoInformation (BgA) Informationssysteme
0687,Oberste Landesstraßenbaubehörde
0696,Städtebauförderung
0697,Wohnungswesen
0700,"Behörde des Sen. für Wirtschaft, Arbeit und Häfen"
0701,Allgemeine Bewilligungen für Wirtschaft und Häfen
0702,"Ernährung, Landwirtschaft und Verbraucher (bis 2015)"
0703,Wirtschaftsförderung für Innovation/Technologie
0704,Wirtschaftsförderung für Mittelstand/Industrie/Außenhandel
0706,Wirtschaftsförderung für Bremerhaven
0709,Wirtschaftsförderung für EU-Programme/Planung
0715,Erschließungs- und Schwerpunktprojekte (AIP)
0717,Dienstleistungs- und Technologieprojekte (AIP)
0754,Wirtschaftsförderung für Dienstleistungsfonds/Tourismus/Zentren
0800,"Behörde d. Sen. für Wirtschaft, Arbeit und Häfen (Häfen)"
0801,Hafenwirtschaft/Hafeninfrastruktur und Luftverkehrsbehörde
0900,Behörde d. Sen. für Finanzen
0901,Allgemeine Bewilligungen für Finanzen und Personal
0910,Landeshauptkasse Bremen
0922,"Zentrale Aus-, Fort- und Weiterbildung"
0923,Verwaltungsschule
0926,Aus- und Fortbildungszentrum
0927,Hochschule für Öffentliche Verwaltung
0950,IT - Budget
0954,Finanzamt Bremen-Nord (bis 30.04.2017)
0955,Finanzamt Bremerhaven
0957,Finanzamt für Außenprüfung Bremen
0958,Finanzamt Bremen
0970,Steuern
0972,Zuweisungen und Zuschüsse an Gemeinden
0973,Bundes- und Länderfinanzausgleich
0980,"Allgemeines Kapitalvermögen, Schuldendienst, Rücklagen"
0986,Wirtschaftliche Unternehmen
0987,Zuweisungen/Honorare an Immobilien Bremen (AöR)
0988,Zuweisungen an Sondervermögen Immobilien und Technik
0990,Zentral veranschlagte Personalausgaben 0995 Allgemeines
0998,Kommunalinvestitionsförderungsfonds
3025,Rathausverwaltung
3191,Allgemeine Bewilligungen für Sport und Freizeit
3192,Sportamt
3307,"Kriegsopferfürsorge, Leistungen nach dem SVG, ZDG und OEG"
3400,"Behörde d. Sen. für Soziales, Jugend, Frauen, Integration und Sport"
3408,Sonstige Sozialleistungen
3411,Allgemeine Bewilligungen für Erwachsene und ältere Menschen
3412,Sozialhilfeleistungen (ehemals örtlicher Träger)
3413,Leistungen der Grundsicherung nach dem SGB XII
3417,Leistungen für Asylbewerber
3418,Sozialhilfeleistungen (ehemals überörtlicher Träger)
3419,Sozialleistungen an behinderte Erwachsene (ehemals örtlicher Träger)
3420,Sozialleistungen an behinderte Erwachsene (ehemals überörtlicher Träger)
3431,Allgemeine Bewilligungen für junge Menschen
3432,Allgemeine Bewilligungen für Kinderbetreuung (bis 2015)
3434,Erziehungshilfe
3461,Allgemeine Bewilligungen für Zuwanderer und Aussiedler
3472,Hilfe und Leistungen nach dem SGB II
3473,Hilfe zum Lebensunterhalt nach Kapitel 3 SGB XII
3474,Leistungen für Bildung und Teilhabe (Soziales)
3490,Amt für soziale Dienste
3493,Jobcenter Bremen
3496,Amt für soziale Dienste (Personalkosten)
3501,Allgemeine Bewilligungen für Gesundheit
3510,Gesundheitsamt Bremen
3520,Krankenhausfinanzierung
3601,Allgemeine Bewilligungen für Umwelt
3603,Saubere Stadt
3627,Umwelt- und Hochwasserschutz
3680,"Behörde des Senators für Umwelt, Bau und Verkehr"
3681,Allgemeine Bewilligungen für Bau und Verkehr
3682,Fachbereich Planung
3687,Amt für Straßen und Verkehr
3691,Bauamt Bremen-Nord
3696,Städtebauförderung
3700,"Behörde d. Sen. für Wirtschaft, Arbeit und Häfen"
3701,Allgemeine Bewilligungen für Wirtschaft und Häfen
3708,Wirtschaftsförderung für Gewerbeflächen/Regionalplanung
3709,Wirtschaftsförderung für Planung
3751,Gewerbeangelegenheiten
3752,Marktverwaltung
3754,Wirtschaftsförderung für Dienstleistungsfonds/Tourismus/Zentren
3801,Hafenwirtschaft/Hafeninfrastruktur und Luftverkehrsbehörde
3854,Hafenbehörde
3900,Behörde d. Sen. für Finanzen
3901,Allgemeine Bewilligungen für Finanzen und Personal
3950,IT - Budget
3970,Gemeindesteuern
3972,Zuweisungen
3980,"Allgemeines Kapitalvermögen, Schuldendienst,Rücklagen"
3986,Wirtschaftliche Unternehmen
3987,Zuweisungen/Honorare an Immobilien Bremen (AöR)
3988,Zuweisungen an Sondervermögen Immobilien und Technik
3990,Zentral veranschlagte Personalausgaben 3992 Haftpflichtschäden
3995,Allgemeines
3998,Kommunalinvestitionsförderungsfonds
