Haushalt Art;Titelnr.;Titel;Gruppennr.;Gruppe;Budget Richtung;Bezeichnung;Jahr;Ansatz/Rechnung;Betrag
Vermögenshaushalt;4;Soziale Sicherung;4602;Einrichtungen der Jugendarbeit-Jugendhaus;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4605;Einrichtung der Jugdendarbeit - Abenteuerspielplatz;Einnahmen;Investitionszuweisungen Kommunaler Jugendplan Nr.1 des Lkr. STA;2015;Rechnung;30000
Vermögenshaushalt;4;Soziale Sicherung;4605;Einrichtung der Jugdendarbeit - Abenteuerspielplatz;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;1000
Vermögenshaushalt;4;Soziale Sicherung;4605;Einrichtung der Jugdendarbeit - Abenteuerspielplatz;Ausgaben;Neubau Abenteuerspielplatz;2015;Rechnung;20000
Vermögenshaushalt;4;Soziale Sicherung;4641;Tageseinrichtung für Kinder -Kath. Kindergarten und Hort-;Einnahmen;Darlehensrückflüsse vom übrigen Bereich;2015;Rechnung;4601.63
Vermögenshaushalt;4;Soziale Sicherung;4642;Tageseinrichtung für Kinder -02- (Kindergarten Geisenbrunn);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;1000
Vermögenshaushalt;4;Soziale Sicherung;4643;Tageseinrichtung für Kinder -03- (Kindergarten Wichtlhaus);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;526.93
Vermögenshaushalt;4;Soziale Sicherung;4644;Tageseinrichtung für Kinder -04- (KiGa Gilchinger Strolche);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;1000
Vermögenshaushalt;4;Soziale Sicherung;4645;Tageseinrichtung für Kinder -05- (Kindergarten Montessori);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;3093
Vermögenshaushalt;4;Soziale Sicherung;4646;Tageseinrichtung für Kinder - Mittagsbetreuung;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;1000
Vermögenshaushalt;4;Soziale Sicherung;4647;Tageseinrichtung für Kinder (Kindergarten Kinderfarm);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;1759.56
Vermögenshaushalt;4;Soziale Sicherung;4648;Kinderkrippe Abenteuerspielplatz;Einnahmen;Investitionszuweisungen v. Land Art. 10  FAG - KiGa und Hort;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4648;Kinderkrippe Abenteuerspielplatz;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4648;Kinderkrippe Abenteuerspielplatz;Ausgaben;Gebäudeneubau;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4649;ehemals Kinderkrippe Die kleinen Löwen (Träger Gemeinde);Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4653;Kinderhort der Diakonie;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4681;Tageseinrichtungen für Kinder -BIV Kindergarten-;Einnahmen;Investitionszuweisungen v. Land Art. 10 FAG - Umbau u. Erweiterung des BIV-KiGa;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4681;Tageseinrichtungen für Kinder -BIV Kindergarten-;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;-1000
Vermögenshaushalt;4;Soziale Sicherung;4681;Tageseinrichtungen für Kinder -BIV Kindergarten-;Ausgaben;Erweiterungs-, Um- und Ausbauten;2015;Rechnung;-40525.43
Vermögenshaushalt;4;Soziale Sicherung;4682;Tageseinrichtungen für Kinder -Evang. Kindergarten-+Hort;Einnahmen;Investitionszuweisungen v. Land Art. 10 FAG - Hort im KiGa St. Johannes;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4682;Tageseinrichtungen für Kinder -Evang. Kindergarten-+Hort;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4685; Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg;Einnahmen;Investitionszuweisungen v.Land Invest.Pr Kinderkrippe;2015;Rechnung;952000
Vermögenshaushalt;4;Soziale Sicherung;4685; Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg;Einnahmen;Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort;2015;Rechnung;100000
Vermögenshaushalt;4;Soziale Sicherung;4685; Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;18075.97
Vermögenshaushalt;4;Soziale Sicherung;4685; Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg;Ausgaben;Gebäudeneubau Kinderhaus;2015;Rechnung;753724.22
Vermögenshaushalt;4;Soziale Sicherung;4685; Tageseinrichtung für Kinder - Haus für Kinder am Frauwiesenweg;Ausgaben;Gebäudeneubau Kindergarten;2015;Rechnung;400000
Vermögenshaushalt;4;Soziale Sicherung;4686;Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS;Einnahmen;Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort;2015;Rechnung;300000
Vermögenshaushalt;4;Soziale Sicherung;4686;Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;40000
Vermögenshaushalt;4;Soziale Sicherung;4686;Tageseinrichtung für Kinder - Kinderhort an der Arnoldus-GS;Ausgaben;Gebäudeneubau;2015;Rechnung;3000000
Vermögenshaushalt;4;Soziale Sicherung;4687;Tageseinrichtung für Kinder - Mittagsbetreuung - Lilienthalstraße -;Einnahmen;Investitionszuweisungen v.Land Art. 10 FAG - KiGa und Hort;2015;Rechnung;0
Vermögenshaushalt;4;Soziale Sicherung;4687;Tageseinrichtung für Kinder - Mittagsbetreuung - Lilienthalstraße -;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;5000
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5100;Krankenhäuser;Ausgaben;Investitionszuweisungen Krankenhauszweckverband Seefeld;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5500;Förderung des Sports;Ausgaben;Pump-Track-Gelände Moutainbike;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5500;Förderung des Sports;Ausgaben;Neue Lautsprecheranlage im Stadion Talhofstraße;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5500;Förderung des Sports;Ausgaben;Investitionszuschüsse an den übrigen Bereich - Schützengesellschaft Edelweiß;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahme  -Beachvolleyball-Anlage;2015;Rechnung;85201.31
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erweiterungs-, Um- und Außbaumaßnahmen Sportgelände - Zaunbau Tennisanlage;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erweiterungs-, Um- und Ausbaumaßnahme Sportgelände - Zaunbau Fußballplatz-;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erweiterungs-, Um- und Außbaumaßnahmen Sportgelände - Beregnungsanlagen -;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Erweiterungs-, Um- und Außbaumaßnahmen Sanierung Stadionbelag;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Skateranlage, Neubau oder Sanierung;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Pflasterplatz für Stockschützen Frauenwiesenweg;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5600;Sportanlagen;Ausgaben;Betriebstechnische Anlagen Flutlichtanlagen Sportgelände;2015;Rechnung;0
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5819;Parkanlagen und öffentliche Grünflächen Einnahmen;Ausgaben;Sport- und Grünflächen u.ä.;2015;Rechnung;2635.4
Vermögenshaushalt;5;Gesundheit, Sport, Erholung;5901;Generationenspielplatz;Ausgaben;Generationenspielplatz;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6000;Bauverwaltung;Ausgaben;Erwerb von beweglichen Sachen des Anlagevermögens;2015;Rechnung;3972.96
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6000;Bauverwaltung;Ausgaben;Arbeitsgeräte und Maschinen (Ausstattung);2015;Rechnung;14372.68
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6100;Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung;Einnahmen;Sonstige Beiträge u.ä.;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6100;Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung;Einnahmen;Investitionszuweisungen vom Land;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6100;Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung;Ausgaben;Tiefbaumaßnahme  -Umgestaltung Bahnhofsvorplatz-;2015;Rechnung;50000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6100;Städtebaul. Planung, Städtebauförderung, Vermessung, Bauordnung;Ausgaben;Städtebauliche Planungen und Energiekonzept Gilchinger Glatze;2015;Rechnung;10000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6200;Wohnungsbauförderung und Wohnungsfürsorge;Einnahmen;Darlehensrückflüsse von Zweckverbänden und dgl.;2015;Rechnung;19998.7
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6200;Wohnungsbauförderung und Wohnungsfürsorge;Einnahmen;Darlehenrückflüsse v.privat.Unternehmen Baugenossenschaft-Sonnenstraßel 0-16;2015;Rechnung;11745.44
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6200;Wohnungsbauförderung und Wohnungsfürsorge;Einnahmen;Darlehensrückflüsse vom übrigen Bereich;2015;Rechnung;147847.13
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6200;Wohnungsbauförderung und Wohnungsfürsorge;Ausgaben;Investitionszuweisung Verband Wohnen im Kreis Starnberg;2015;Rechnung;132929.95
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6200;Wohnungsbauförderung und Wohnungsfürsorge;Ausgaben;Investitionszusch.an den übr. Bereich  -Energiesparmassnahmen GR v.27.11.01;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Venusstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeitrag Schellenbergstraße;2015;Rechnung;35000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Steinlacher Weg;2015;Rechnung;109672.99
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Pähler Weg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Neubruchweg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Argelsrieder Weg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Waldstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Römerstraße zw. Görbelmoos- und Starnberger Weg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Angerfeldstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge St-Gilgener Straße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Fichtenstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Tonwerkstraße ab Kurve S-Bahnunterführung;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Erschließungsbeiträge Eichenstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Investitionszuweisungen vom Land Breitbandausbau;2015;Rechnung;24842
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Einnahmen;Zuwendung nach Art. 13c FAG Kreisverkehr Karolingerstraße;2015;Rechnung;204000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Erwerb von Verkehrsflächen und grundstücksgleiche Rechte;2015;Rechnung;100000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Erwerb von beweglichen Sachen des Anlage -vermögens Sicherung Straßenverkehr;2015;Rechnung;12219.52
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Breitbandausbau;2015;Rechnung;87000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Straßen, Plätze, Brücken u.ä. Planungskosten, Staubfreimachung;2015;Rechnung;79927.9
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Straßen, Plätze, Brücken u.ä. (Gestaltung Ortszentrum);2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Straßen, Plätze, Brücken u.ä. Kreisverkehr Karolingerstr.;2015;Rechnung;156183.97
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Straßen, Plätze, Brücken u.ä. Kreisverkehr Sonnenstraße;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Tiefbaumaßnahme Gewerbegebiet A96 Nord;2015;Rechnung;75000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Generalsanierung S-Bahn-Brücken;2015;Rechnung;60000
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Umverlegung Frauwiesenweg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Straßen, Plätze, Brücken u.ä. Schellenbergstraße;2015;Rechnung;153439.03
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Tiefbaumaßnahme Pähler Weg;2015;Rechnung;0
Vermögenshaushalt;6;Bau- und Wohnungswesen, Verkehr;6300;Gemeindestraßen;Ausgaben;Tiefbaumaßnahme Neubruchweg;2015;Rechnung;0
