Produktbereich;Produktbereich-Bez;Teilplan;Teilplan-Bez;Produkt;Produkt-Bez;Aufwand/Ertrag;Ergebnisgliederungscode;Ergebnisgliederung-Bez;Sachkonto;Sachkonto-Bez;Betrag;Datum
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310300;Fernmeldegebühren;-5500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310700;Reisekosten, Wegstreckenentschädigung;-5000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58111000;Mietaufwendungen (ILB);-24500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111101;Verwaltungsleitung;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58112000;Betriebskostenaufwendungen (ILB);-26900,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Ertrag;06;Kostenerstattungen und Kostenumlagen;44850000;Erstattungen von verbundenen Unternehmen,;89500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Ertrag;07;Sonstige ordentliche Erträge;45821100;Ertr. a.d. Auflös./Herabsetzung d. Pensionsrückst.;19900,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Ertrag;07;Sonstige ordentliche Erträge;45821200;Ertr. a.d. Auflös./Herabsetzung d. Beihilferückst.;2500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Ertrag;07;Sonstige ordentliche Erträge;45822000;Ertr. a.d. Auflös./Herabs. d.Altersteilzeitrückst.;4700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50110000;Beamtinnen und Beamte;-389200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50120000;Arbeitnehmerinnen und Arbeitnehmer;-790400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50211000;Zuführung zur Versorgungsrücklage - Dienstbezüge;-14300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50220000;Arbeitnehmerinnen und Arbeitnehmer;-29800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50320000;Arbeitnehmerinnen und Arbeitnehmer;-174700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50410000;Beihilfen/ Unterstützungsleist. u.dgl. f.Beschäft.;-21000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50510000;Zuführungen zu Pensionsrückstellungen n. beamten-;-108900,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;11;Personalaufwendungen;50610000;Zuführungen zur Beihilferückst. f. Beschäftigte;-31200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;12;Versorgungsaufwendungen;51110000;Beamtinnen und Beamte;-197600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;12;Versorgungsaufwendungen;51410000;Beihilfen, Unterstützungsleistungen für Ver-;-25500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;12;Versorgungsaufwendungen;51610000;Zuführungen zu Beihilferückstellungen für;-15100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52320000;Leasing;-4300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52415000;Gebäude- und sonst. Schadensversicherungen;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52511100;Pflege u. Unterhaltung v. Kfz u. and. Fahrzeugen;-4300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52512000;Kfz-Steuer;-300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52610000;Besondere Aufwendungen für Beschäftigte;-200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52620000;Aus- und Fortbildung, Umschulung;-3000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710300;Softwarepflege u.-updates, fachspezif. Anwendungen;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710400;Wartung u. Pflege d. Datennetze, zentraler Hard-;-12000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910300;Ausstellungen u. Wettbewerbe u. sonst. Veranstalt.;-1500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910400;Repräsentation (nur OB und StP);-6600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910700;Sonst. Aufwendungen der Öffentlichkeitsarbeit;-7000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52911100;Spezielle Zweckausgaben der Verw.zweige (allgem.);-2100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;14;Bilanzielle Abschreibungen;57110290;AFA auf bewegliches Anlagevermögen;-800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;15;Transferaufwendungen;53180000;Zuschüsse an übrige Bereiche;-61000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54111000;Personalnebenaufwendungen;-500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54210000;Aufwendungen f. ehrenamtliche u. sonst. Tätigkeit;-530000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54293000;Mitgliedsbeiträge an Verbände, Vereine u. dgl.;-273800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310100;Bürobedarf;-6300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310201;Postgebühren allgemein;-5200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310300;Fernmeldegebühren;-3000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310600;Öffentliche Bekanntmachungen;-3500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310700;Reisekosten, Wegstreckenentschädigung;-23500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310800;Sachverständigen-, Gerichts- u. ähnl. Kosten;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;162;Sonstige ordentliche Aufwendungen;54310909;Weitere sonst. Geschäftsaufwendungen;-5000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Ertrag;28;Erträge aus internen Leistungsbeziehungen;48130000;Erträge aus Verwaltungskostenbeiträgen (ILB);370800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58111000;Mietaufwendungen (ILB);-80700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111102;Gemeindeverfassung;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58112000;Betriebskostenaufwendungen (ILB);-79000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Ertrag;06;Kostenerstattungen und Kostenumlagen;44800010;Erstattungen vom Bund;26100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Ertrag;07;Sonstige ordentliche Erträge;45821100;Ertr. a.d. Auflös./Herabsetzung d. Pensionsrückst.;9300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Ertrag;07;Sonstige ordentliche Erträge;45821200;Ertr. a.d. Auflös./Herabsetzung d. Beihilferückst.;1200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Ertrag;07;Sonstige ordentliche Erträge;45822000;Ertr. a.d. Auflös./Herabs. d.Altersteilzeitrückst.;19300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50110000;Beamtinnen und Beamte;-171200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50120000;Arbeitnehmerinnen und Arbeitnehmer;-71200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50211000;Zuführung zur Versorgungsrücklage - Dienstbezüge;-6300,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50220000;Arbeitnehmerinnen und Arbeitnehmer;-6100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50320000;Arbeitnehmerinnen und Arbeitnehmer;-20200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50410000;Beihilfen/ Unterstützungsleist. u.dgl. f.Beschäft.;-12800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50510000;Zuführungen zu Pensionsrückstellungen n. beamten-;-51400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50610000;Zuführungen zur Beihilferückst. f. Beschäftigte;-14700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;11;Personalaufwendungen;50710000;Zuführungen zur Altersteilzeitrückstellung für;-35400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;12;Versorgungsaufwendungen;51110000;Beamtinnen und Beamte;-90400,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;12;Versorgungsaufwendungen;51410000;Beihilfen, Unterstützungsleistungen für Ver-;-15500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;12;Versorgungsaufwendungen;51610000;Zuführungen zu Beihilferückstellungen für;-7100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52620000;Aus- und Fortbildung, Umschulung;-100,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710200;Betriebsgerät u. -inventar u. and. Gebrauchsgegen-;-500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910300;Ausstellungen u. Wettbewerbe u. sonst. Veranstalt.;-148500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910500;Ehrengaben, Preise und ähnliche Zuwendungen;-11000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52910700;Sonst. Aufwendungen der Öffentlichkeitsarbeit;-0,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;15;Transferaufwendungen;53150000;Zuschüsse an verbundene Unternehmen,;-2700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;15;Transferaufwendungen;53180000;Zuschüsse an übrige Bereiche;-34000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54111000;Personalnebenaufwendungen;-200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54293000;Mitgliedsbeiträge an Verbände, Vereine u. dgl.;-1700,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54310100;Bürobedarf;-1500,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54310201;Postgebühren allgemein;-3600,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54310300;Fernmeldegebühren;-4000,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;162;Sonstige ordentliche Aufwendungen;54310700;Reisekosten, Wegstreckenentschädigung;-30800,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58111000;Mietaufwendungen (ILB);-18200,00;01.01.2017
11;Innere Verwaltung;1111;Gemeindeorgane;111103;Internationale Beziehungen und Bevölkerungskontakte;Aufwand;29;Aufwendungen aus internen Leistungsbezieh.;58112000;Betriebskostenaufwendungen (ILB);-19400,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Ertrag;07;Sonstige ordentliche Erträge;45821100;Ertr. a.d. Auflös./Herabsetzung d. Pensionsrückst.;12500,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Ertrag;07;Sonstige ordentliche Erträge;45821200;Ertr. a.d. Auflös./Herabsetzung d. Beihilferückst.;1600,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50110000;Beamtinnen und Beamte;-342400,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50120000;Arbeitnehmerinnen und Arbeitnehmer;-228900,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50211000;Zuführung zur Versorgungsrücklage - Dienstbezüge;-8300,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50220000;Arbeitnehmerinnen und Arbeitnehmer;-14600,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50320000;Arbeitnehmerinnen und Arbeitnehmer;-44900,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50410000;Beihilfen/ Unterstützungsleist. u.dgl. f.Beschäft.;-7200,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50510000;Zuführungen zu Pensionsrückstellungen n. beamten-;-68300,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;11;Personalaufwendungen;50610000;Zuführungen zur Beihilferückst. f. Beschäftigte;-19600,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;12;Versorgungsaufwendungen;51110000;Beamtinnen und Beamte;-145800,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;12;Versorgungsaufwendungen;51410000;Beihilfen, Unterstützungsleistungen für Ver-;-8800,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;12;Versorgungsaufwendungen;51610000;Zuführungen zu Beihilferückstellungen für;-9500,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52620000;Aus- und Fortbildung, Umschulung;-5000,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710200;Betriebsgerät u. -inventar u. and. Gebrauchsgegen-;-1500,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710300;Softwarepflege u.-updates, fachspezif. Anwendungen;-2000,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52710701;Sonstige Verbrauchsmittel und Anstaltsbedarf;-0,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;13;Aufwendungen f. Sach- u. Dienstleistungen;52711100;Beschaffg. für FW Büroausstattung;-1000,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;14;Bilanzielle Abschreibungen;57110290;AFA auf bewegliches Anlagevermögen;-100,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;15;Transferaufwendungen;53150000;Zuschüsse an verbundene Unternehmen,;-198000,00;01.01.2017
11;Innere Verwaltung;1112;Steuerungsunterstützung und Verwaltung der Dezernate;111202;Steuerungsunterstützung und Verwaltung des Dezernates II;Aufwand;162;Sonstige ordentliche Aufwendungen;54111000;Personalnebenaufwendungen;-400,00;01.01.2017
