Profitcenter;Objektnr.;Bezeichnung;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017;VE 2018;Plan 2018;Plan 2019;Plan 2020;Plan 2021;Plan 2022
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;58110000;Aufwendungen aus internen Leistungsbez.;258.094,00;258.094,00;258.094,00;258.094,00;0,00;258.094,00;258.094,00;258.094,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;78310000;Erwerb von Vermögensgegenständen >410 Eu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10102;1.100.01.01.02;Aufgaben der Verwaltungsführung;78320000;Erwerb von Vermögensgegenständen <410 Eu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;41410000;Zuw.u.Zusch.für lfd.Zwecke vom Land;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;45910000;andere sonstige ordentliche Erträge;-256,50;-2.557,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;45910013;Erstattungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50000000;Planung Personalaufwendungen;0,00;0,00;160.790,54;160.364,80;0,00;162.622,79;164.923,24;167.266,80;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50110000;Bezüge Beamte;31.145,36;32.214,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50120000;Vergütungen tariflich Beschäftigte;34.190,97;12.135,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50220000;Beiträge Versorgungskassen tariflich Bes;2.707,91;967,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;6.709,97;2.277,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50510000;Rückstellungen für Pensionsverpflichtung;11.461,87;0,00;8.945,32;8.304,61;0,00;8.304,61;8.304,61;8.304,61;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;50610000;Rückstellungen für Beihilfen;3.892,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;51000000;Planung Versorgungsaufwendungen;0,00;0,00;21.592,14;20.045,60;0,00;20.618,33;21.191,06;21.763,79;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;52510000;Haltung von Fahrzeugen;3.600,33;6.024,11;5.000,00;5.000,00;0,00;5.000,00;5.000,00;5.000,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;54123000;Fort- und Weiterbildung, Dienstreisen;91,00;942,71;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;54310000;Geschäftsaufwendungen;4.282,79;4.157,44;4.000,00;4.000,00;0,00;4.000,00;4.000,00;4.000,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;54991000;Ehrengaben, Altersjubiläen, Goldhochzeit;6.818,59;8.367,71;9.000,00;9.000,00;0,00;9.000,00;9.000,00;9.000,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;57110009;Abschreibungen auf Sachanlagen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;57118009;Abschreibungen auf GWG manuelle Planung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10103;1.100.01.01.03;Aufgaben Büro der Bürgermeisterin;58110000;Aufwendungen aus internen Leistungsbez.;71.177,00;71.177,00;71.177,00;71.177,00;0,00;71.177,00;71.177,00;71.177,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;44610000;Sonstige privatrechtliche Leistungsentge;-4.582,65;-9.227,70;-50,00;-50,00;0,00;-50,00;-50,00;-50,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50000000;Planung Personalaufwendungen;0,00;0,00;54.879,29;55.351,62;0,00;56.130,99;56.925,02;57.733,92;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50110000;Bezüge Beamte;36.339,37;37.274,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50120000;Vergütungen tariflich Beschäftigte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50220000;Beiträge Versorgungskassen tariflich Bes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50510000;Rückstellungen für Pensionsverpflichtung;13.373,33;0,00;3.053,12;2.866,42;0,00;2.866,42;2.866,42;2.866,42;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;50610000;Rückstellungen für Beihilfen;4.541,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;51000000;Planung Versorgungsaufwendungen;0,00;0,00;7.369,60;6.918,95;0,00;7.116,64;7.314,32;7.512,01;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;52810000;Sonstige Sachleistungen;4.159,48;7.238,09;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;52910000;Aufwendungen für sonstige Dienstleistung;4.899,77;7.275,68;3.200,00;3.200,00;0,00;3.200,00;3.200,00;3.200,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;54123000;Fort- und Weiterbildung, Dienstreisen;921,28;621,26;740,00;740,00;0,00;740,00;740,00;740,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;54310000;Geschäftsaufwendungen;76,18;356,39;300,00;300,00;0,00;300,00;300,00;300,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;54319018;sonstige Geschäftsaufwendungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10104;1.100.01.01.04;Gleichstellung von Mann und Frau;58110000;Aufwendungen aus internen Leistungsbez.;32.259,00;32.259,00;32.259,00;32.259,00;0,00;32.259,00;32.259,00;32.259,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;48111000;Kostenerstattung Gebührenhaushalte;-12.984,00;-14.296,00;-14.296,00;-14.296,00;0,00;-14.296,00;-14.296,00;-14.296,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50000000;Planung Personalaufwendungen;0,00;0,00;88.305,88;85.950,23;0,00;87.160,44;88.393,41;89.649,47;0,00;0,00
10105;1.100.01.01.05;Personalrat;50110000;Bezüge Beamte;44.394,53;46.736,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50120000;Vergütungen tariflich Beschäftigte;21.196,14;14.725,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50220000;Beiträge Versorgungskassen tariflich Bes;1.730,57;1.197,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;4.102,15;2.931,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50410000;Beihilfen und Unterstützungsleistungen f;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;50510000;Rückstellungen für Pensionsverpflichtung;16.337,73;0,00;4.912,75;4.450,99;0,00;4.450,99;4.450,99;4.450,99;0,00;0,00
10105;1.100.01.01.05;Personalrat;50610000;Rückstellungen für Beihilfen;5.548,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;51000000;Planung Versorgungsaufwendungen;0,00;0,00;11.858,37;10.743,78;0,00;11.050,74;11.357,71;11.664,67;0,00;0,00
10105;1.100.01.01.05;Personalrat;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;54120001;Zuweisungen zur Förderung der Pensionärs;5.500,00;5.500,00;5.500,00;5.500,00;0,00;5.500,00;5.500,00;5.500,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;54123000;Fort- und Weiterbildung, Dienstreisen;4.687,70;9.710,69;4.500,00;4.500,00;0,00;4.000,00;4.500,00;4.500,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;54310000;Geschäftsaufwendungen;751,01;1.067,12;2.000,00;2.000,00;0,00;2.000,00;2.000,00;2.000,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;54319048;Aufw. nach § 40 II LPVG;0,00;0,00;580,00;580,00;0,00;580,00;580,00;580,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;57110009;Abschreibungen auf Sachanlagen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;57118009;Abschreibungen auf GWG manuelle Planung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;58110000;Aufwendungen aus internen Leistungsbez.;43.708,00;43.708,00;43.708,00;43.708,00;0,00;43.708,00;43.708,00;43.708,00;0,00;0,00
10105;1.100.01.01.05;Personalrat;78310000;Erwerb von Vermögensgegenständen >410 Eu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;41610000;Erträge aus  SoPO-Auflösung aus Zuweisun;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;44830002;Ertr. VHS-Zweckverband f. Dienstl. der V;-1.080,00;-1.500,00;-1.500,00;-1.500,00;0,00;-1.500,00;-1.500,00;-1.500,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;44851000;Kostenerstattung  ASG für erbrachte Leis;-8.100,00;-7.900,00;-8.100,00;-8.100,00;0,00;-8.100,00;-8.100,00;-8.100,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;45829000;Erträge aus der Auflösung sonstiger Rück;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;48111000;Kostenerstattung Gebührenhaushalte;-2.574,00;-5.034,00;-5.034,00;-5.034,00;0,00;-5.034,00;-5.034,00;-5.034,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50000000;Planung Personalaufwendungen;0,00;0,00;251.866,36;262.963,76;0,00;266.666,39;270.438,64;274.281,56;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50110000;Bezüge Beamte;125.357,41;129.540,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50120000;Vergütungen tariflich Beschäftigte;21.787,84;68.603,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50220000;Beiträge Versorgungskassen tariflich Bes;4.618,64;5.531,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;2.608,88;12.318,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50410000;Beihilfen und Unterstützungsleistungen f;0,00;273,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50510000;Rückstellungen für Pensionsverpflichtung;46.133,05;0,00;14.012,17;13.617,77;0,00;13.617,77;13.617,77;13.617,77;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;50610000;Rückstellungen für Beihilfen;15.667,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;51000000;Planung Versorgungsaufwendungen;0,00;0,00;33.822,48;32.870,47;0,00;33.809,63;34.748,78;35.687,94;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;51410000;Beihilfen, Unterstützl. für Versorgungse;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;52910010;Prüfgebühren Gemeindeprüfungsanstalt;25.000,00;25.000,00;25.000,00;25.000,00;0,00;25.000,00;25.000,00;25.000,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;52910011;Beratungskosten Jahresabschluss;27.600,00;24.000,00;24.000,00;24.000,00;0,00;24.000,00;24.000,00;24.000,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;52910012;Beratungskosten Gesamtabschluss;35.000,00;5.000,00;5.000,00;20.000,00;0,00;20.000,00;5.000,00;5.000,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;54123000;Fort- und Weiterbildung, Dienstreisen;1.587,24;532,50;3.000,00;3.000,00;0,00;3.000,00;3.000,00;3.000,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;54310000;Geschäftsaufwendungen;432,08;299,53;1.500,00;1.500,00;0,00;1.500,00;1.500,00;1.500,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;57110009;Abschreibungen auf Sachanlagen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;57118009;Abschreibungen auf GWG manuelle Planung;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10106;1.100.01.01.06;Rechnungsprüfung;58110000;Aufwendungen aus internen Leistungsbez.;68.174,00;68.174,00;68.174,00;68.174,00;0,00;68.174,00;68.174,00;68.174,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;44831000;Erst.Beitrag Verm.eigensch.-vers. VHS;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;44851001;Erst.Beitrag Verm.eigensch.-vers. ASG;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;48110000;Erträge aus internen Leistungsbeziehunge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;48111000;Kostenerstattung Gebührenhaushalte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;50110000;Bezüge Beamte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;50120000;Vergütungen tariflich Beschäftigte;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;50220000;Beiträge Versorgungskassen tariflich Bes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;50320000;Beiträge gesetzl.Sozialvers.tariflich Be;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;51210000;Beitr. Versorgungsk. Versorgungsempfänge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;54310000;Geschäftsaufwendungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;54313000;Mitgliedsbeiträge;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;54413100;Beiträge Vermögenseigenschadenversicheru;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10201;1.100.01.02.01;Organisationsangelegenh. und Datenschutz;54990000;Sonstige laufende Verwaltungstätigkeiten;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
