Kapitel,Bezeichnung,TGr.,Bezeichnung,Titel,FZ,Zweckbestimmung,Ansatz 2016 in EUR,Ansatz 2017 in EUR,Ansatz 2018 in EUR
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,52760,011,Reisekostenvergütungen für Dienstreisen,,1000,1000
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,53160,013,Öffentlichkeitsarbeit,0,0,0
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,54160,011,Kosten für die Durchführung der Ausschusssitzungen,0,21000,21000
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,51161,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",0,0,0
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,51861,011,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",0,0,0
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,52661,011,"Sachverständige, Gerichts- und ähnliche Kosten",120000,120000,120000
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,52761,011,Reisekostenvergütungen für Dienstreisen,4000,4000,2000
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,53161,013,Öffentlichkeitsarbeit,15000,15000,20000
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,54161,011,Kosten für die Durchführung der Kommissionssitzungen,36000,36000,36000
01010,Landtag Brandenburg,61,Ausgaben für Enquete-Kommissionen,54661,011,Sonstiges,0,0,0
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,51163,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",0,2000,2000
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,51863,011,Mieten und Pachten,0,9000,9000
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,52563,011,"Aus- und Fortbildung, Lehr- und Lernmittel",0,1000,1000
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,52763,011,Reisekostenvergütungen für Dienstreisen,6000,3000,3000
01010,Landtag Brandenburg,63,Ausgaben für die Kontakt- und Informationsstelle in Brüssel,54663,011,Nicht aufteilbare sächliche Verwaltungsausgaben,17000,8000,8000
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,51199,011,"Geräte, Ausstattungs- und Ausrüstungsgegenstände sowie Entgelte für Kommunikation",230000,257900,270400
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,51899,011,Mieten,26000,31500,31500
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,52599,011,"Aus- und Fortbildung, Lehr- und Lernmittel",12700,12700,12700
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,52699,011,"Sachverständige, Gerichtskosten und ähnliche Ausgaben",0,0,0
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,53899,011,Sonstige Dienstleistungen und Gestattungen,46900,25000,25000
01010,Landtag Brandenburg,,,63210,011,Kosten für den Parlamentsspiegel,4500,4500,4500
01010,Landtag Brandenburg,,,68410,011,Zuschüsse an die Fraktionen nach § 3 Absatz 1 des FraktG und Gruppen nach § 19 Absatz 1 des FraktG,6530100,7041500,7041500
01010,Landtag Brandenburg,,,68430,011,Erstattungen nach dem Brandenburgischen Wahlkampfkostenerstattungsgesetz (WKKG),0,0,0
01010,Landtag Brandenburg,,,68440,011,Zahlungen nach dem Parteiengesetz,491500,491500,491500
01010,Landtag Brandenburg,,,68530,011,Mitgliedsbeiträge,1600,1600,1600
01010,Landtag Brandenburg,60,Ausgaben für parlamentarische Untersuchungsausschüsse,68460,011,Zuschüsse an die Fraktionen für parlamentarische Untersuchungsausschüsse,0,417000,426200
01010,Landtag Brandenburg,,,71110,011,"Kleine Neu-, Um- und Erweiterungsbauten",157100,59000,174000
01010,Landtag Brandenburg,,,81210,011,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen im Inland zur erstmaligen Einrichtung",0,0,0
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,81299,011,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen, sonstigen Gebrauchsgegenständen",150000,284000,375000
01010,Landtag Brandenburg,78,Pilotprojekt zur Einführung von Langzeitkonten,91978,851,Zuführung zu der Rücklage Langzeitkonto,,0,0
01010,Landtag Brandenburg,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,91999,851,Zuführung zu der Rücklage,0,0,0
01020,Allgemeine Bewilligungen,64,Umsetzung der Altersteilzeitarbeit,23564,851,Erstattungen der Bundesagentur für Arbeit,0,0,0
01020,Allgemeine Bewilligungen,,,35910,851,Entnahme aus der Rücklage Verwaltungsbudget,0,0,0
01020,Allgemeine Bewilligungen,,,35911,851,Entnahme aus der Rücklage Personalbudget,0,0,0
01020,Allgemeine Bewilligungen,,,43210,018,"Versorgungsbezüge der Beamtinnen und Beamten, Richterinnen und Richter sowie deren Hinterbliebene",534900,430200,537700
01020,Allgemeine Bewilligungen,,,44310,011,Fürsorgeleistungen und Unterstützungen,2200,2200,2200
01020,Allgemeine Bewilligungen,,,44330,011,Kosten für die Inanspruchnahme von überbetrieblichen betriebsärztlichen und sicherheitstechnischen Diensten (Zentren) sowie Vertragsärztinnen und Vertragsärzten nach dem Arbeitssicherheitsgesetz,0,0,0
01020,Allgemeine Bewilligungen,64,Umsetzung der Altersteilzeitarbeit,42264,011,"Bezüge der Beamtinnen und Beamten, Richterinnen und Richter in der Altersteilzeitarbeit",0,0,0
01020,Allgemeine Bewilligungen,64,Umsetzung der Altersteilzeitarbeit,42864,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer in der Altersteilzeitarbeit,0,0,0
01020,Allgemeine Bewilligungen,,,54615,012,Inanspruchnahme der IT-Infrastruktur des ZIT-BB,346800,303000,303000
01020,Allgemeine Bewilligungen,,,91910,851,Zuführung zu der Rücklage Verwaltungsbudget,0,0,0
01020,Allgemeine Bewilligungen,,,91911,851,Zuführung zu der Rücklage Personalbudget,0,0,0
01020,Allgemeine Bewilligungen,,,91935,018,"Zuführung an das Sondervermögen ""Versorgungsfonds des Landes Brandenburg""",243800,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,11110,011,"Gebühren, sonstige Entgelte",0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,11210,011,"Geldstrafen, Geldbußen und Zwangsgelder (einschließlich der damit zusammenhängenden Gerichts- und Verwaltungskosten)",6000,6000,6000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,11910,011,Sonstige Verwaltungseinnahmen,0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,13210,011,Veräußerung von beweglichen Sachen,0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,35999,851,Entnahme aus der Rücklage,0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,42210,011,"Bezüge und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",635700,693900,693900
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,42720,011,Entgelte für Aushilfen,0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,42810,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,920400,1435200,1594200
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51110,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",21000,25000,28500
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51120,011,"Brief- und Paketgebühren, sonstige Fernmeldegebühren",8500,8500,8500
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51410,011,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",2600,2600,2600
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51725,011,Betriebs- und Nebenkosten im Rahmen des Vermieter-Mieter-Modells,55600,46900,46900
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51820,011,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",7600,7600,7600
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51825,011,Mietzahlungen an den BLB,64400,67900,106700
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,51830,011,Leasing von Dienstkraftfahrzeugen,2000,2000,2000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,52510,011,"Aus- und Fortbildung, Lehr- und Lernmittel",6200,8600,10700
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,52610,011,"Sachverständige, Gerichtskosten und ähnliche Ausgaben",1000,1000,2000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,52710,011,Reisekostenvergütungen für Dienstreisen,17000,20200,23000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,52910,011,Verfügungsmittel,200,200,200
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,53120,013,Öffentlichkeitsarbeit,15000,15000,15000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,54110,013,Aufwendungen für Veranstaltungen,2100,18600,2100
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,54610,011,Sonstiges,300,40300,300
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,54620,011,Entschädigungs- und Ersatzleistungen an Dritte,0,0,0
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,51199,011,"Geräte, Ausstattungs- und Ausrüstungsgegenstände sowie Entgelte für Kommunikation",13000,13000,13000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,52599,011,"Aus- und Fortbildung, Lehr- und Lernmittel",6000,7200,8800
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,53899,011,Sonstige Dienstleistungen und Gestattungen,7600,8800,9800
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,,,81210,011,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen im Inland zur erstmaligen Einrichtung",0,24000,21000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,81299,011,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen, sonstigen Gebrauchsgegenständen",200000,8000,7000
01030,Landesbeauftragte für den Datenschutz und für das Recht auf Akteneinsicht,99,Einnahmen aus der IT-Rücklage / Kosten der Datenverarbeitung,91999,851,Zuführung zu der Rücklage,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,11910,011,Sonstige Verwaltungseinnahmen,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,11920,011,Einnahmen aus Veröffentlichungen,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,13210,011,Veräußerung von beweglichen Sachen,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,28210,011,Sonstige Zuschüsse aus dem Inland,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,28211,291,Zuschuss der Bundesstiftung zur Aufarbeitung der SED-Diktatur,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,23460,291,Sonstige Zuweisungen von Sondervermögen,578300,830800,437500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,62,"Hilfen für Menschen, die als Kinder und Jugendliche in stationären Einrichtungen der Behindertenhilfe oder in stationären psychiatrischen Einrichtungen der DDR Leid und Unrecht erfahren haben",28262,291,"Hilfen für Menschen, die als Kinder und Jugendliche in stationären Einrichtungen der Behindertenhilfe oder in stationären psychiatrischen Einrichtungen der DDR Leid und Unrecht erfahren haben",,175200,389100
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,42210,011,"Bezüge und Nebenleistungen der Beamtinnen und Beamten, Richterinnen und Richter",307100,179900,179900
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,42720,011,Entgelte für Aushilfen,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,42810,011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,256400,555100,555100
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,42760,291,Entgelte für Aushilfen,0,215000,215000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,42860,291,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,524900,550100,161700
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,61,"Unterstützung von Opfervereinen und -verbänden, Lagergemeinschaften, Aufarbeitungs-
initiativen und einmalige Hilfen an ehemals politisch Verfolgte, die nach den SED-Unrechtsbereinigungsgesetzen rehabilitiert wurden",42761,291,Entgelte für Aushilfen,61900,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,62,"Hilfen für Menschen, die als Kinder und Jugendliche in stationären Einrichtungen der Behindertenhilfe oder in stationären psychiatrischen Einrichtungen der DDR Leid und Unrecht erfahren haben",42762,291,Entgelte für Aushilfen,,7200,17500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,62,"Hilfen für Menschen, die als Kinder und Jugendliche in stationären Einrichtungen der Behindertenhilfe oder in stationären psychiatrischen Einrichtungen der DDR Leid und Unrecht erfahren haben",42862,291,Entgelte für Arbeitnehmerinnen und Arbeitnehmer,,133800,337600
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51110,011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",10500,10500,10500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51120,011,"Brief- und Paketgebühren, sonstige Fernmeldegebühren",3000,3500,3500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51410,011,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",3600,3000,3000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51710,011,"Bewirtschaftung der Grundstücke, Gebäude und Räume",0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51725,011,Betriebs- und Nebenkosten im Rahmen des Vermieter-Mieter-Modells,16500,18000,18000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51810,011,Mieten und Pachten,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51820,011,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",3500,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51825,011,Mietzahlungen an den BLB,57300,57000,57900
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51830,011,Leasing von Dienstkraftfahrzeugen,2000,2000,2000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,51910,011,"Kleinere Unterhaltungsarbeiten an Grundstücken, Gebäuden und Räumen",0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,52510,011,"Aus- und Fortbildung, Lehr- und Lernmittel",4000,4000,4000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,52610,011,"Sachverständige, Gerichtskosten und ähnliche Ausgaben",5000,3200,3200
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,52710,011,Reisekostenvergütungen für Dienstreisen,6000,6000,6000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,52910,011,Verfügungsmittel,500,500,500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,53140,013,Dokumentation und Information über die Wirkungsweisen diktatorischer Herrschaftsformen gemäß § 2 BbgAufarbBG.,73100,73100,113100
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,53150,011,Geförderte Projekte durch Dritte zur Dokumentation und Information über die Wirkungsweisen diktatorischer Herrschaftsformen gemäß § 2 BbgAufarbBG,0,0,0
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,54610,011,Sonstiges,500,1300,1300
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,,,54640,229,Abgaben an die Künstlersozialkasse,1000,1500,1500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,51160,291,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",11000,20000,15000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,51860,291,"Mieten und Pachten für Geräte, Maschinen und Fahrzeuge",30000,36300,36300
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,52560,291,"Aus- und Fortbildung, Lehr- und Lernmittel",5900,5900,1000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,52660,291,"Sachverständige, Gerichts- und ähnliche Kosten",500,500,500
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,52760,291,Reisekostenvergütungen für Dienstreisen,2000,2000,1000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,60,Hilfen für ehemalige Heimkinder der DDR,53160,291,Öffentlichkeitsarbeit,4000,1000,7000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,61,"Unterstützung von Opfervereinen und -verbänden, Lagergemeinschaften, Aufarbeitungs-
initiativen und einmalige Hilfen an ehemals politisch Verfolgte, die nach den SED-Unrechtsbereinigungsgesetzen rehabilitiert wurden",52661,291,"Sachverständige, Gerichts- und ähnliche Kosten",8000,8000,8000
01040,Beauftragte des Landes Brandenburg zur Aufarbeitung der Folgen der kommunistischen Diktatur    ,61,"Unterstützung von Opfervereinen und -verbänden, Lagergemeinschaften, Aufarbeitungs-
initiativen und einmalige Hilfen an ehemals politisch Verfolgte, die nach den SED-Unrechtsbereinigungsgesetzen rehabilitiert wurden",53161,291,"Kosten für Veröffentlichungen, der Dokumentation und für Tagungen",12000,12000,12000
