"Produkt";"Produktbezeichnung";"Produktgruppe";"Produktgruppenbezeichnung";"Produktbereich";"Produktbereich Bezeichnung";"Dezernat";"Dezernatsbezeichnung";"Teilhaushalte";"Teilhaushalte Bezeichnung";"Amt / Dienststelle";"Amt / Dienststelle Bezeichnung";"Ergebnis 2015 (Erträge)";"Ergebnis 2015 (Aufwendungen)";"Ergebnis 2015 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2016 (Erträge)";"Ansatz 2016 (Aufwendungen)";"Ansatz 2016 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2017 (Erträge)";"Ansatz 2017 (Aufwendungen)";"Ansatz (Saldo/Zuschussbedarf/Erträge - Aufwendungen)";"Ansatz 2018 (Erträge)";"Ansatz 2018 (Aufwendungen)";"Ansatz 2018 (Saldo/Zuschussbedarf/Erträge - Aufwendungen)"
"126001";"Brandbekämpfung/Technische Hilfeleistung";"1260";"Brandschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";943445;-11434059;12377505;512074;-7777429;-7265354;1061234;-10038901;-8977667;1045154;-10250813;-9205659
"126002";"Feuersicherheitswachdienst";"1260";"Brandschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";16991;-12448;29438;8090;-52848;-44758;16990;-6162;10828;16990;-6888;10102
"126003";"Ber./Brandverhütungsschauen außerh. BauO";"1260";"Brandschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";6580;-197178;203758;7330;0;7330;6540;-189724;-183184;6540;-207430;-200890
"126004";"Brandschutzerziehung und -aufklärung";"1260";"Brandschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";2185;-67099;69284;234;-234437;-234203;2098;-50620;-48522;2098;-53297;-51199
"126005";"Dienstleistungen für Dritte";"1260";"Brandschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";675992;-1463950;2139941;790169;-2768827;-1978658;633877;-1132091;-498214;633877;-1158236;-524359
"128001";"Katastrophenabwehr";"1280";"Katastrophenschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";68404;-64803;133207;59571;-155146;-95575;74591;-256916;-182325;74591;-263503;-188912
"128002";"Bevölkerungsschutz";"1280";"Katastrophenschutz";"12";"Sicherheit und Ordnung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_20";"THH 20 Amt f. Brand-, Katastrophenschutz";"AMT-370";"370 Amt f. Brand-, Katastrophenschutz";112;-599;712;1;-45082;-45081;17897;-374766;-356869;17897;-394816;-376919
"211001";"Grundschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";111545;-2540673;2652218;86386;-2509375;-2422989;3532954;-21509464;-17976510;3642166;-22911619;-19269452
"211002";"Haupt-u.Werkrealschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";280003;-201179;481182;275190;-241616;33574;403027;-417231;-14204;403029;-447712;-44682
"211003";"Grund-,Haupt-u.Werkrealschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";1192410;-869356;2061766;974877;-1000897;-26021;1004466;-1619731;-615265;1022480;-1684933;-662453
"211004";"Realschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";1545960;-1193674;2739634;1515231;-1179564;335666;2127050;-2342249;-215199;2134424;-2401967;-267543
"211006";"Gymnasium";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";4636920;-3442375;8079295;4516750;-3496390;1020360;6112596;-4930854;1181742;6134640;-5075800;1058840
"211009";"Gesamtschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";1016169;-1187631;2203800;1126820;-1046723;80097;1285606;-1155144;130462;1288406;-1185805;102601
"211010";"Gemeinschaftsschulen";"2110";"Allgemeinbildenden Schulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";72004;-163880;235884;256659;-295794;-39135;444676;-537565;-92890;447483;-587451;-139968
"212001";"Schulkindergärten";"2120";"Sonderschulen";"21";"Schulträgeraufgaben";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_08";"THH 8 Amt f. Schule, Bildung";"AMT-400";"400 Amt f. Schule, Bildung";176106;-259816;435922;173270;-82691;90579;149900;-91076;58824;149900;-93062;56838
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-000";"000 Gemeinderat";189057;-1548773;1737829;8800;-1586500;-1577700;189060;-1591166;-1402106;189060;-1605156;-1416096
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-001";"001 Bürgermeisteramt";73414;-1239820;1313234;48650;-958576;-909926;73410;-1021443;-948033;73410;-1049123;-975713
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-II";"Dezernat II BMin Stuchlik";"THH_06";"THH 6 Management Dezernat II";"AMT-002";"002 Büro der BMin Stuchlik";16452;-530468;546920;8500;-486756;-478256;12000;-515460;-503460;12000;-529019;-517019
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";28371;-539144;567514;32000;-429858;-397858;28370;-663782;-635412;28370;-623814;-595444
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_15";"THH 15 Managemnt Dezernat IV";"AMT-004";"004 Büro des EBM Neideck";22039;-612822;634860;12100;-473396;-461296;22040;-503019;-480979;22040;-515362;-493322
"111001";"Steuerung/Geschäftsf.GR und Ausschüsse";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-V";"Dezernat V BM Prof. Dr. Haag";"THH_23";"THH 23 Management Dezernat V";"AMT-005";"005 Büro des BMs Prof Dr. Haag";0;-595242;595242;0;-513851;-513851;0;-567175;-567175;0;-579518;-579518
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";314371;-2118866;2433237;118540;-1956612;-1838072;343090;-2149396;-1806306;289250;-2105417;-1816167
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-151";"151 Ortsverw. Lehen";5877;-165001;170878;0;-109487;-109487;0;-78797;-78797;0;-81190;-81190
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-152";"152 Ortsverw. Opfingen";734;-94661;95395;0;-106184;-106184;734;-94718;-93983;734;-95794;-95060
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-153";"153 Ortsverw. Waltershofen";72;-50667;50739;0;-53014;-53014;72;-58950;-58878;72;-59398;-59326
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-154";"154 Ortsverw. Tiengen";0;-36948;36948;0;-39466;-39466;0;-45178;-45178;0;-45749;-45749
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-155";"155 Ortsverw. Munzingen";0;-12126;12126;0;-20741;-20741;0;-23572;-23572;0;-23694;-23694
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-156";"156 Ortsverw. Hochdorf";12;-86912;86924;0;-72500;-72500;11;-94362;-94351;11;-94937;-94927
"111001";"Steuerung";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-157";"157 Ortsverw. Ebnet";0;-72965;72965;0;-91782;-91782;0;-74079;-74079;0;-74710;-74710
"111001";"Ortsvorsteher/Ortschaftsrat/Repräsentat.";"1110";"Steuerung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_01";"THH 1 Gemeinderat, Bürgermeisteramt, OVs";"AMT-158";"158 Ortsverw. Kappel";0;-87380;87380;2000;-87964;-85964;0;-88785;-88785;0;-90069;-90069
"111101";"Geschäftsf. Gemeinderat u. Ausschüsse";"1111";"Organisation u. Dok.komm.Willensbildung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";21846;-383897;405744;13860;-339616;-325756;16400;-333568;-317168;16400;-328709;-312309
"111102";"Geschäftsf.Ortschaftsrat u.sonst.Gremien";"1111";"Organisation u. Dok.komm.Willensbildung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";0;-119055;119055;180;-107103;-106923;0;-117767;-117767;0;-119582;-119582
"111102";"Geschäftsführung Migrationsausschuss";"1111";"Organisation u. Dok.komm.Willensbildung";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_14";"THH 14 Amt f. Migration und Integration";"AMT-540";"540 Amt f. Migration und Integration";33000;-33811;66811;0;-31360;-31360;0;-31833;-31833;0;-32170;-32170
"111200";"Steuerungsunterstützung";"1112";"Steuerungsunterstützung und Controlling";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_17";"THH 17 Stadtkämmerei";"AMT-200";"200 Stadtkämmerei";20743;-2272180;2292923;9780;-2110765;-2100985;10000;-1438751;-1428751;10000;-1476516;-1466516
"111201";"Grundsätze, Strategien, Handlungsrahmen";"1112";"Steuerungsunterstützung und Controlling";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-042";"042 Vergabemanagemnt";3898;-43409;47306;0;-39392;-39392;4000;-38173;-34173;4000;-39607;-35607
"111201";"Grundsätze, Strategien, Handlungsrahmen";"1112";"Steuerungsunterstützung und Controlling";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";198162;-861495;1059658;89810;-1192706;-1102896;178050;-713617;-535567;183050;-726364;-543314
"111201";"Grundsätze, Strategien, Handlungsrahmen";"1112";"Steuerungsunterstützung und Controlling";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_16";"THH 16 Amt f. Bürgerservice, Infover.";"AMT-120";"120 Amt f. Bürgerservice, Infover.";1;-280383;280384;0;-192133;-192133;1;-421051;-421050;1;-358945;-358943
"111301";"Rechnungsprüfung (Pflichtaufgaben)";"1113";"Rechnungsprüfung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_04";"THH 4 Rechnungsprüfungsamt";"AMT-140";"140 Rechnungsprüfungsamt";198262;-1479188;1677450;255000;-1429381;-1174381;206636;-1443411;-1236775;232816;-1509990;-1277174
"111302";"Sonstige übertragene Rechnungsprüfungen";"1113";"Rechnungsprüfung";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_04";"THH 4 Rechnungsprüfungsamt";"AMT-140";"140 Rechnungsprüfungsamt";99838;-213410;313248;48700;-205476;-156776;81294;-207267;-125974;66174;-216826;-150653
"111401";"Gleichstellung v. Frauen (intern/extern)";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-011";"011 Stelle z. Gleichberechtigung d. Frau";0;-261346;261346;0;-256485;-256485;42500;-166407;-123907;42500;-176835;-134335
"111401";"Gleichstellung v. Frauen (intern/extern)";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-019";"019 GS Gender Mainstreaming";0;0;0;0;0;0;0;-143439;-143439;0;-118085;-118085
"111402";"Berufliche Gleichst. v. Frauen (extern)";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-012";"012 Kontaktstelle Frau und Beruf";133471;-228274;361746;126400;-218512;-92112;209400;-352675;-143275;209400;-360309;-150909
"111403";"Gesamtpersonalrat";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-310";"310 Gesamtpersonalrat";24715;-268597;293312;25160;-164653;-139493;25160;-261276;-236116;25160;-266170;-241010
"111405";"Datenschutzbeauftragte";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_03";"THH 3 Rechtsamt";"AMT-300";"300 Rechtsamt";0;-74228;74228;0;-78397;-78397;0;-66186;-66186;0;-67479;-67479
"111406";"Repräsentation und Internationales";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";88959;-1252299;1341258;15000;-1111068;-1096068;15000;-1238317;-1223317;10000;-1236532;-1226532
"111407";"Info-Point Europa";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_12";"THH 12 Kultur, Bibliothekswesen";"AMT-430";"430 Stadtbibliothek";25203;-89194;114397;25000;-94510;-69510;25200;-94883;-69683;25200;-97253;-72053
"111408";"Integrationsförderung";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";298402;-550872;849274;3000;-345716;-342716;0;0;0;0;0;0
"111408";"Integrationsförderung";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_14";"THH 14 Amt f. Migration und Integration";"AMT-540";"540 Amt f. Migration und Integration";0;0;0;0;0;0;0;-943487;-943487;0;-953434;-953434
"111409";"Lokale Agenda";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";0;-214942;214942;0;-195795;-195795;0;-160841;-160841;0;-161322;-161322
"111410";"Bürgerschaftliches Engagement";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";8462;-308222;316684;48400;-294305;-245905;35000;-240754;-205754;35000;-242306;-207306
"111411";"Inklusion";"1114";"Zentrale Funktionen";"11";"Innere Verwaltung";"DEZ-III";"Dezernat III BM von Kirchbach";"THH_11";"THH 11 Management Dezernat III";"AMT-003";"003 Büro des BMs v.Kirchbach/Büro f.Migr";0;0;0;0;0;0;0;-124088;-124088;0;-116805;-116805
"112001";"Organisationsberatung";"1120";"Organisation und EDV";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";0;-1491079;1491079;0;-1142872;-1142872;0;-1466365;-1466365;0;-1536576;-1536576
"112002";"IT Service";"1120";"Organisation und EDV";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_16";"THH 16 Amt f. Bürgerservice, Infover.";"AMT-120";"120 Amt f. Bürgerservice, Infover.";101565;-5874660;5976225;46930;-5802641;-5755711;90280;-7603919;-7513639;90280;-8007307;-7917027
"112101";"Personalbedarfsdeckung";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";649362;-1398406;2047768;231090;-4001257;-3770167;333670;-5369661;-5035991;278090;-5847547;-5569457
"112102";"Personalbetreuung";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";11894;-827887;839781;9810;-1123796;-1113986;11890;-881696;-869806;11890;-898346;-886456
"112103";"Ausbildung";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";56925;-2456908;2513833;36800;-2677438;-2640638;44700;-2822582;-2777882;44700;-3015777;-2971077
"112104";"Fortbildung";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";40056;-973456;1013512;24380;-725253;-700873;22810;-952047;-929237;22810;-994236;-971426
"112105";"Bezügeabrechnung";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";865405;-2312282;3177686;812040;-14657302;-13845262;865410;-15256004;-14390594;865410;-15627651;-14762241
"112106";"Freiwillige soziale Leistungen";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-110";"110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw";45555;-280924;326479;10230;-269692;-259462;7420;-465448;-458028;7420;-467416;-459996
"112107";"Arbeitsschutz und Arbeitsmedizin";"1121";"Personalwesen";"11";"Innere Verwaltung";"DEZ-I";"Dezernat I OB Dr. Salomon";"THH_02";"THH 2 Zentrale Funktionen, Sonderaufg.";"AMT-160";"160 Arbeitsschutz";5438;-205447;210886;21590;-339533;-317943;5440;-353524;-348084;5440;-359993;-354553
"112201";"HH/BW und Stadt als Steuerschuldnerin";"1122";"Finanzverwaltung, Kasse";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_17";"THH 17 Stadtkämmerei";"AMT-200";"200 Stadtkämmerei";14261;-1143603;1157863;4160;-926674;-922514;3800;-2232927;-2229127;3800;-1822646;-1818846
"112205";"Kassenverwaltung";"1122";"Finanzverwaltung, Kasse";"11";"Innere Verwaltung";"DEZ-IV";"Dezernat IV EBM Neideck";"THH_17";"THH 17 Stadtkämmerei";"AMT-200";"200 Stadtkämmerei";516830;-2530520;3047350;620740;-2376945;-1756205;609250;-2429673;-1820423;609250;-2479402;-1870152
