Produkt,Produktbezeichnung,Produktgruppe,Produktgruppenbezeichnung,Produktbereich,Produktbereich Bezeichnung,Dezernat,Dezernatsbezeichnung,Teilhaushalte,Teilhaushalte Bezeichnung,Amt / Dienststelle,Amt / Dienststelle Bezeichnung,Jahr,Art,Betrag
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2016,Erträge,32000
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2016,Aufwendungen,"-429857,61"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2017,Erträge,28370
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2017,Aufwendungen,"-543012,59"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2018,Erträge,28370
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-III,Dezernat III BM von Kirchbach,THH_11,THH 11 Management Dezernat III,AMT-003,003 Büro des BMs v.Kirchbach/Büro f.Migr,2018,Aufwendungen,"-453477,58"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2015,Erträge,"22038,84"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2015,Aufwendungen,"-612821,52"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2016,Erträge,12100
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2016,Aufwendungen,"-473396,31"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2017,Erträge,22040
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2017,Aufwendungen,"-502398,67"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2018,Erträge,22040
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-IV,Dezernat IV EBM Neideck,THH_15,THH 15 Managemnt Dezernat IV,AMT-004,004 Büro des EBM Neideck,2018,Aufwendungen,"-510210,01"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2015,Erträge,0
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2015,Aufwendungen,"-595241,66"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2016,Erträge,0
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2016,Aufwendungen,"-513851,16"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2017,Erträge,0
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2017,Aufwendungen,"-566460,1"
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2018,Erträge,0
111001,Steuerung/Geschäftsf.GR und Ausschüsse,1110,Steuerung,11,Innere Verwaltung,DEZ-V,Dezernat V BM Prof. Dr. Haag,THH_23,THH 23 Management Dezernat V,AMT-005,005 Büro des BMs Prof Dr. Haag,2018,Aufwendungen,"-573601,88"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2015,Erträge,"314370,82"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2015,Aufwendungen,"-2118866,38"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2016,Erträge,118540
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2016,Aufwendungen,"-1956611,67"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2017,Erträge,343090
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2017,Aufwendungen,"-2117961,33"
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2018,Erträge,289250
111001,Steuerung,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_02,"THH 2 Zentrale Funktionen, Sonderaufg.",AMT-110,110 HPA/OB Büro/Büro f.K.I.K./NM/PG Verw,2018,Aufwendungen,"-2062365,61"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2015,Erträge,"5877,13"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2015,Aufwendungen,"-165001,26"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2016,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2016,Aufwendungen,"-109486,56"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2017,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2017,Aufwendungen,"-78742,72"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2018,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-151,151 Ortsverw. Lehen,2018,Aufwendungen,"-80749,38"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2015,Erträge,"734,4"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2015,Aufwendungen,"-94660,98"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2016,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2016,Aufwendungen,"-106183,59"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2017,Erträge,"734,4"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2017,Aufwendungen,"-94639,89"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2018,Erträge,"734,4"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-152,152 Ortsverw. Opfingen,2018,Aufwendungen,"-95160,63"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2015,Erträge,"71,76"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2015,Aufwendungen,"-50667,04"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2016,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2016,Aufwendungen,"-53014,05"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2017,Erträge,"71,76"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2017,Aufwendungen,"-58902,34"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2018,Erträge,"71,76"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-153,153 Ortsverw. Waltershofen,2018,Aufwendungen,"-59008,91"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2015,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2015,Aufwendungen,"-36948,41"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2016,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2016,Aufwendungen,"-39466,09"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2017,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2017,Aufwendungen,"-45156,34"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2018,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-154,154 Ortsverw. Tiengen,2018,Aufwendungen,"-45574,2"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2015,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2015,Aufwendungen,"-12125,69"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2016,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2016,Aufwendungen,"-20740,67"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2017,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2017,Aufwendungen,"-23562,36"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2018,Erträge,0
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-155,155 Ortsverw. Munzingen,2018,Aufwendungen,-23616
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-156,156 Ortsverw. Hochdorf,2015,Erträge,"11,6"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-156,156 Ortsverw. Hochdorf,2015,Aufwendungen,"-86912,26"
111001,Ortsvorsteher/Ortschaftsrat/Repräsentat.,1110,Steuerung,11,Innere Verwaltung,DEZ-I,Dezernat I OB Dr. Salomon,THH_01,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",AMT-156,156 Ortsverw. Hochdorf,2016,Erträge,0
