Kontengruppe-Nummer;Kontengruppe;Profitcenter;Profitcenter-Bezeichnung;Art;PSP-Element;Kostenart;Kostenart Beschreibung;Ist 2015;Ist 2016;Plan 2016;Plan 2017
57;Bilanzielle Aufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;1.463.727,09;1.465.570,29;1.455.994,10;1.467.712,85
58;Aufwendungen aus internen Leistungsbeziehungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;5;;;;23.832,58;22.875,17;22.000,00;22.000,00
59;Außerordentliche Aufwendungen;108; Liegensch., Steuern, Zentr. Ausschreib. ;2;;;;0;0;0;0
44;Privatrechtliche Leistungsentgelte;109; Presse und Öffentlichkeitsarbeit ;1;;;;-19.290,00;-19.290,00;-19.290,00;-19.290,00
45;sonstige ordentliche Erträge;109; Presse und Öffentlichkeitsarbeit ;1;;;;0;0;0;0
48;Erträge aus internen Leistungsbeziehungen;109; Presse und Öffentlichkeitsarbeit ;4;;;;-51;-52;-50;-51
50;Personalaufwendungen;109; Presse und Öffentlichkeitsarbeit ;2;;;;201.668,84;212.760,20;207.136,64;221.872,36
51;Versorgungsaufwendungen;109; Presse und Öffentlichkeitsarbeit ;2;;;;46.953,99;57.332,63;45.530,52;57.780,48
52;Aufwendungen für Sach- und Dienstleistungen;109; Presse und Öffentlichkeitsarbeit ;2;;;;232,92;478,35;300;470
54;sonstige ordentliche Aufwendungen;109; Presse und Öffentlichkeitsarbeit ;2;;;;6.286,48;7.483,92;11.206,67;11.354,90
57;Bilanzielle Aufwendungen;109; Presse und Öffentlichkeitsarbeit ;2;;;;491,89;611,93;0;427,65
43;öffentlich-rechtliche Leistungsentgelte;110; Recht und Datenschutz ;1;;;;0;0;0;0
44;Privatrechtliche Leistungsentgelte;110; Recht und Datenschutz ;1;;;;-81.237,98;-27.807,50;-138.999,00;-132.007,00
45;sonstige ordentliche Erträge;110; Recht und Datenschutz ;1;;;;0;0;0;0
50;Personalaufwendungen;110; Recht und Datenschutz ;2;;;;141.035,70;47.865,00;151.232,80;110.818,84
51;Versorgungsaufwendungen;110; Recht und Datenschutz ;2;;;;37.466,62;21.822,67;35.893,88;45.114,52
52;Aufwendungen für Sach- und Dienstleistungen;110; Recht und Datenschutz ;2;;;;0;0;0;0
54;sonstige ordentliche Aufwendungen;110; Recht und Datenschutz ;2;;;;1.214.547,68;1.250.984,38;1.310.543,27;1.299.694,58
57;Bilanzielle Aufwendungen;110; Recht und Datenschutz ;2;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;203; Gefahrenvorbeugung und - abwehr ;1;;;;-248.314,03;-263.795,12;-243.060,44;-288.481,51
43;öffentlich-rechtliche Leistungsentgelte;203; Gefahrenvorbeugung und - abwehr ;1;;;;-70.865,50;-83.019,11;-131.000,00;-106.000,00
44;Privatrechtliche Leistungsentgelte;203; Gefahrenvorbeugung und - abwehr ;1;;;;-154.835,39;-324.005,03;-152.166,00;-157.500,00
45;sonstige ordentliche Erträge;203; Gefahrenvorbeugung und - abwehr ;1;;;;-7.137,01;-41.533,83;-3.000,00;-600
48;Erträge aus internen Leistungsbeziehungen;203; Gefahrenvorbeugung und - abwehr ;4;;;;-15.600,00;-15.800,00;0;-18.000,00
49;Außerordentliche Erträge;203; Gefahrenvorbeugung und - abwehr ;1;;;;0;0;0;0
50;Personalaufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;5.526.977,76;5.240.777,45;5.422.333,60;5.601.030,28
51;Versorgungsaufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;2.983.499,62;3.525.189,74;2.680.229,32;3.301.557,48
52;Aufwendungen für Sach- und Dienstleistungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;913.902,47;811.329,02;940.757,00;895.330,00
53;Transferaufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;39.844,00;39.560,00;40.000,00;40.000,00
54;sonstige ordentliche Aufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;282.172,82;329.356,14;374.287,37;293.631,77
57;Bilanzielle Aufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;685.873,07;755.868,36;722.464,53;778.234,83
58;Aufwendungen aus internen Leistungsbeziehungen;203; Gefahrenvorbeugung und - abwehr ;5;;;;0;0;40;40
59;Außerordentliche Aufwendungen;203; Gefahrenvorbeugung und - abwehr ;2;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;204; Rettungsdienst ;1;;;;-2.958.150,90;-26.800,67;-4.135.772,66;-4.468.342,22
43;öffentlich-rechtliche Leistungsentgelte;204; Rettungsdienst ;1;;;;-596;-374,48;0;0
44;Privatrechtliche Leistungsentgelte;204; Rettungsdienst ;1;;;;-1.007,73;-3.948.533,40;-500;-500
45;sonstige ordentliche Erträge;204; Rettungsdienst ;1;;;;-2.900,00;0;-500;-500
50;Personalaufwendungen;204; Rettungsdienst ;2;;;;2.539.718,34;3.163.266,47;2.755.286,20;3.100.844,64
51;Versorgungsaufwendungen;204; Rettungsdienst ;2;;;;0;0;184.756,56;174.134,28
52;Aufwendungen für Sach- und Dienstleistungen;204; Rettungsdienst ;2;;;;286.351,30;291.934,61;284.920,00;292.371,00
54;sonstige ordentliche Aufwendungen;204; Rettungsdienst ;2;;;;556.714,91;561.055,11;693.748,93;671.409,65
57;Bilanzielle Aufwendungen;204; Rettungsdienst ;2;;;;105.635,84;108.829,77;109.411,49;101.358,65
58;Aufwendungen aus internen Leistungsbeziehungen;204; Rettungsdienst ;5;;;;122.515,00;150.958,00;101.302,00;129.224,00
41;Zuwendungen und allgemeine Umlagen;301; Grundschulen ;1;;;;0;0;-2.226.156,69;-2.899.743,28
43;öffentlich-rechtliche Leistungsentgelte;301; Grundschulen ;1;;;;0;0;-623.573,00;-644.774,00
44;Privatrechtliche Leistungsentgelte;301; Grundschulen ;1;;;;0;0;-27.457,00;-30.016,00
45;sonstige ordentliche Erträge;301; Grundschulen ;1;;;;0;0;0;0
48;Erträge aus internen Leistungsbeziehungen;301; Grundschulen ;4;;;;0;0;-550;-6.350,00
50;Personalaufwendungen;301; Grundschulen ;2;;;;0;0;800.700,72;823.250,12
51;Versorgungsaufwendungen;301; Grundschulen ;2;;;;0;0;41.130,84;52.383,76
52;Aufwendungen für Sach- und Dienstleistungen;301; Grundschulen ;2;;;;0;0;4.252.413,00;4.227.372,00
53;Transferaufwendungen;301; Grundschulen ;2;;;;0;0;2.687.880,00;2.865.797,00
54;sonstige ordentliche Aufwendungen;301; Grundschulen ;2;;;;0;0;102.473,86;115.366,85
57;Bilanzielle Aufwendungen;301; Grundschulen ;2;;;;0;0;1.724.256,98;1.764.284,17
58;Aufwendungen aus internen Leistungsbeziehungen;301; Grundschulen ;5;;;;0;0;0;50
41;Zuwendungen und allgemeine Umlagen;302; Hauptschule ;1;;;;0;0;-114.423,89;-123.073,16
44;Privatrechtliche Leistungsentgelte;302; Hauptschule ;1;;;;0;0;-590;-599
45;sonstige ordentliche Erträge;302; Hauptschule ;1;;;;0;0;-1.069,00;-1.105,00
48;Erträge aus internen Leistungsbeziehungen;302; Hauptschule ;4;;;;0;0;0;0
50;Personalaufwendungen;302; Hauptschule ;2;;;;0;0;97.073,56;96.975,12
51;Versorgungsaufwendungen;302; Hauptschule ;2;;;;0;0;5.113,72;3.515,76
52;Aufwendungen für Sach- und Dienstleistungen;302; Hauptschule ;2;;;;0;0;408.572,00;410.615,00
53;Transferaufwendungen;302; Hauptschule ;2;;;;0;0;60.000,00;60.000,00
54;sonstige ordentliche Aufwendungen;302; Hauptschule ;2;;;;0;0;23.331,79;26.189,99
57;Bilanzielle Aufwendungen;302; Hauptschule ;2;;;;0;0;255.021,03;247.020,63
58;Aufwendungen aus internen Leistungsbeziehungen;302; Hauptschule ;5;;;;0;0;100;100
41;Zuwendungen und allgemeine Umlagen;303; Realschulen ;1;;;;0;0;-361.014,22;-469.607,78
44;Privatrechtliche Leistungsentgelte;303; Realschulen ;1;;;;0;0;-53.135,00;-54.823,00
45;sonstige ordentliche Erträge;303; Realschulen ;1;;;;0;0;-134;-139
48;Erträge aus internen Leistungsbeziehungen;303; Realschulen ;4;;;;0;0;-550;-5.675,00
50;Personalaufwendungen;303; Realschulen ;2;;;;0;0;167.946,12;99.055,16
51;Versorgungsaufwendungen;303; Realschulen ;2;;;;0;0;10.227,56;7.030,40
52;Aufwendungen für Sach- und Dienstleistungen;303; Realschulen ;2;;;;0;0;919.828,00;585.671,00
53;Transferaufwendungen;303; Realschulen ;2;;;;0;0;101.000,00;100.000,00
54;sonstige ordentliche Aufwendungen;303; Realschulen ;2;;;;0;0;24.462,31;29.714,35
57;Bilanzielle Aufwendungen;303; Realschulen ;2;;;;0;0;508.533,31;510.965,19
41;Zuwendungen und allgemeine Umlagen;304; Gymnasien ;1;;;;0;0;-485.018,73;-607.121,17
43;öffentlich-rechtliche Leistungsentgelte;304; Gymnasien ;1;;;;0;0;0;0
44;Privatrechtliche Leistungsentgelte;304; Gymnasien ;1;;;;0;0;-63.515,00;-65.159,00
45;sonstige ordentliche Erträge;304; Gymnasien ;1;;;;0;0;-269,86;-274,86
48;Erträge aus internen Leistungsbeziehungen;304; Gymnasien ;4;;;;0;0;-550;-6.350,00
50;Personalaufwendungen;304; Gymnasien ;2;;;;0;0;449.010,36;473.571,36
51;Versorgungsaufwendungen;304; Gymnasien ;2;;;;0;0;20.456,00;14.061,80
52;Aufwendungen für Sach- und Dienstleistungen;304; Gymnasien ;2;;;;0;0;2.296.290,00;2.385.682,00
53;Transferaufwendungen;304; Gymnasien ;2;;;;0;0;175.000,00;177.250,00
54;sonstige ordentliche Aufwendungen;304; Gymnasien ;2;;;;0;0;105.014,55;122.571,44
57;Bilanzielle Aufwendungen;304; Gymnasien ;2;;;;0;0;1.510.244,48;1.523.958,67
58;Aufwendungen aus internen Leistungsbeziehungen;304; Gymnasien ;5;;;;0;0;1.000,00;1.000,00
41;Zuwendungen und allgemeine Umlagen;305; Gesamtschulen ;1;;;;0;0;-568.276,31;-711.145,07
43;öffentlich-rechtliche Leistungsentgelte;305; Gesamtschulen ;1;;;;0;0;-22.886,00;-20.664,00
44;Privatrechtliche Leistungsentgelte;305; Gesamtschulen ;1;;;;0;0;-42.595,00;-43.358,00
45;sonstige ordentliche Erträge;305; Gesamtschulen ;1;;;;0;0;-5.325,41;-5.334,41
48;Erträge aus internen Leistungsbeziehungen;305; Gesamtschulen ;4;;;;0;0;0;0
50;Personalaufwendungen;305; Gesamtschulen ;2;;;;0;0;468.821,88;350.868,24
51;Versorgungsaufwendungen;305; Gesamtschulen ;2;;;;0;0;26.521,20;32.653,60
52;Aufwendungen für Sach- und Dienstleistungen;305; Gesamtschulen ;2;;;;0;0;2.480.232,00;2.434.329,00
53;Transferaufwendungen;305; Gesamtschulen ;2;;;;0;0;55.000,00;68.000,00
54;sonstige ordentliche Aufwendungen;305; Gesamtschulen ;2;;;;0;0;108.785,87;114.600,68
57;Bilanzielle Aufwendungen;305; Gesamtschulen ;2;;;;0;0;1.325.297,18;1.404.721,29
58;Aufwendungen aus internen Leistungsbeziehungen;305; Gesamtschulen ;5;;;;0;0;800;800
41;Zuwendungen und allgemeine Umlagen;306; Förderschule ;1;;;;0;0;-24.526,92;-5.311,10
44;Privatrechtliche Leistungsentgelte;306; Förderschule ;1;;;;0;0;-334;0
45;sonstige ordentliche Erträge;306; Förderschule ;1;;;;0;0;0;0
48;Erträge aus internen Leistungsbeziehungen;306; Förderschule ;4;;;;0;0;-550;0
50;Personalaufwendungen;306; Förderschule ;2;;;;0;0;101.972,08;0
51;Versorgungsaufwendungen;306; Förderschule ;2;;;;0;0;10.622,84;0
52;Aufwendungen für Sach- und Dienstleistungen;306; Förderschule ;2;;;;0;0;134.850,00;0
54;sonstige ordentliche Aufwendungen;306; Förderschule ;2;;;;0;0;13.375,41;0
57;Bilanzielle Aufwendungen;306; Förderschule ;2;;;;0;0;363.441,68;341.342,73
41;Zuwendungen und allgemeine Umlagen;307; Schülerbeförderungskosten ;1;;;;-54.022,56;-54.022,56;-54.023,00;-54.023,00
44;Privatrechtliche Leistungsentgelte;307; Schülerbeförderungskosten ;1;;;;-3.352,71;-25.818,16;-5.448,00;-1.550,00
45;sonstige ordentliche Erträge;307; Schülerbeförderungskosten ;1;;;;-2.420,00;0;0;0
50;Personalaufwendungen;307; Schülerbeförderungskosten ;2;;;;122.347,85;152.205,48;117.575,04;151.188,40
51;Versorgungsaufwendungen;307; Schülerbeförderungskosten ;2;;;;29.686,46;43.259,20;24.990,20;41.492,60
52;Aufwendungen für Sach- und Dienstleistungen;307; Schülerbeförderungskosten ;2;;;;1.847.783,95;1.851.593,97;1.632.190,00;1.842.396,00
54;sonstige ordentliche Aufwendungen;307; Schülerbeförderungskosten ;2;;;;223,12;263,02;210,92;318,48
57;Bilanzielle Aufwendungen;307; Schülerbeförderungskosten ;2;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;308; Zentrale Steuerung ;1;;;;-26.580,04;-39.760,20;-108.262,12;-560.096,09
42;sonstige Transfererträge;308; Zentrale Steuerung ;1;;;;0;0;0;-18.336,56
44;Privatrechtliche Leistungsentgelte;308; Zentrale Steuerung ;1;;;;0;-1.080,00;-10.180,00;-10.366,00
45;sonstige ordentliche Erträge;308; Zentrale Steuerung ;1;;;;0;0;0;0
47;Aktivierte Eigenleistungen;308; Zentrale Steuerung ;1;;;;0;0;0;0
50;Personalaufwendungen;308; Zentrale Steuerung ;2;;;;217.574,07;310.143,30;194.500,80;337.467,84
51;Versorgungsaufwendungen;308; Zentrale Steuerung ;2;;;;43.279,15;60.723,64;41.430,60;66.481,72
52;Aufwendungen für Sach- und Dienstleistungen;308; Zentrale Steuerung ;2;;;;41.928,15;49.890,18;110.469,00;1.000.804,00
53;Transferaufwendungen;308; Zentrale Steuerung ;2;;;;109.710,88;281.916,38;98.980,00;294.410,00
54;sonstige ordentliche Aufwendungen;308; Zentrale Steuerung ;2;;;;63.508,03;61.068,46;74.053,45;79.588,86
57;Bilanzielle Aufwendungen;308; Zentrale Steuerung ;2;;;;4.098,33;4.001,22;26.415,81;33.156,64
58;Aufwendungen aus internen Leistungsbeziehungen;308; Zentrale Steuerung ;5;;;;0;0;150;0
44;Privatrechtliche Leistungsentgelte;401; Moers Kultur GmbH ;1;;;;0;0;0;0
45;sonstige ordentliche Erträge;401; Moers Kultur GmbH ;1;;;;-9.874,97;0;0;0
52;Aufwendungen für Sach- und Dienstleistungen;401; Moers Kultur GmbH ;2;;;;0;0;0;0
53;Transferaufwendungen;401; Moers Kultur GmbH ;2;;;;1.869.715,40;2.235.625,22;1.614.748,00;1.664.750,00
57;Bilanzielle Aufwendungen;401; Moers Kultur GmbH ;2;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;402; Eigenbetrieb Bildung ;1;;;;0;0;0;0
45;sonstige ordentliche Erträge;402; Eigenbetrieb Bildung ;1;;;;-0,14;-306.260,92;0;0
52;Aufwendungen für Sach- und Dienstleistungen;402; Eigenbetrieb Bildung ;2;;;;0;0;0;0
53;Transferaufwendungen;402; Eigenbetrieb Bildung ;2;;;;7.150.000,00;7.097.212,98;7.426.000,00;7.403.000,00
54;sonstige ordentliche Aufwendungen;402; Eigenbetrieb Bildung ;2;;;;0;0;0;0
57;Bilanzielle Aufwendungen;402; Eigenbetrieb Bildung ;2;;;;0;0;4.613,57;4.229,84
41;Zuwendungen und allgemeine Umlagen;403; Kulturbüro ;1;;;;0;0;-1.000,00;-1.000,00
44;Privatrechtliche Leistungsentgelte;403; Kulturbüro ;1;;;;-21.452,41;-5.483,00;-2.066,00;-68
50;Personalaufwendungen;403; Kulturbüro ;2;;;;109.183,79;101.162,21;120.477,00;106.993,00
52;Aufwendungen für Sach- und Dienstleistungen;403; Kulturbüro ;2;;;;19.126,05;8.507,42;2.721,00;728
53;Transferaufwendungen;403; Kulturbüro ;2;;;;55.426,94;56.160,25;61.890,00;61.890,00
54;sonstige ordentliche Aufwendungen;403; Kulturbüro ;2;;;;21.857,39;36.678,06;53.969,91;58.982,72
57;Bilanzielle Aufwendungen;403; Kulturbüro ;2;;;;314,38;314,37;314,37;314,38
58;Aufwendungen aus internen Leistungsbeziehungen;403; Kulturbüro ;5;;;;0;0;0;0
41;Zuwendungen und allgemeine Umlagen;502; Leistungen für Asylbewerber ;1;1.100.05.02;41410000;Zuw.u.Zusch.für lfd.Zwecke vom Land;-73.301,97;-16.300,00;-3.790.300,00;-20.000,00
41;Zuwendungen und allgemeine Umlagen;502; Leistungen für Asylbewerber ;1;1.100.05.02;41611000;ET SoPO-Aufl. aus Zuw. Land;0;-245.006,47;0;0
42;sonstige Transfererträge;502; Leistungen für Asylbewerber ;1;1.100.05.02;42110001;Kostenbeiträge a.v.E;-818,28;-584,89;-100;-100
42;sonstige Transfererträge;502; Leistungen für Asylbewerber ;1;1.100.05.02;42110008;Erstattung Sozialleistungsträger;0;0;-5.000,00;-5.000,00
42;sonstige Transfererträge;502; Leistungen für Asylbewerber ;1;1.100.05.02;42110009;Rückzahlung gewährter Hilfen;-42.509,76;-190.433,78;-35.000,00;-35.000,00
44;Privatrechtliche Leistungsentgelte;502; Leistungen für Asylbewerber ;1;1.100.05.02;44810003;Erstattung FlüAG Land;-4.487.967,38;-11.630.628,78;0;-11.700.000,00
44;Privatrechtliche Leistungsentgelte;502; Leistungen für Asylbewerber ;1;1.100.05.02;44810004;Erstattung Notunterkünfte Land;-2.536.196,13;-2.345.441,90;0;0
44;Privatrechtliche Leistungsentgelte;502; Leistungen für Asylbewerber ;1;1.100.05.02;44910000;Leist-beteil. Grunds;0;0;0;0
45;sonstige ordentliche Erträge;502; Leistungen für Asylbewerber ;1;1.100.05.02;45820000;Erträge aus der Auflösung von Rückstellu;0;0;0;0
45;sonstige ordentliche Erträge;502; Leistungen für Asylbewerber ;1;1.100.05.02;45829001;Erträge aus der Auflösung RS Prozesskost;-3.800,00;0;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50110000;Bezüge Beamte;125.500,82;213.923,28;404.616,00;258.033,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50120000;Vergütungen tariflich Beschäftigte;30.295,67;91.699,12;426.301,00;644.802,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50220000;Versorgungskassenb. tarifl. Beschäftigte;2.377,51;7.154,08;2.158,00;51.172,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50320000;Beiträge gesetzl.SV tarifl. Beschäftigte;6.104,82;18.564,57;5.357,00;129.181,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50410000;Beihilfen und Unterstützungsleistungen f;7.575,04;12.729,55;28.421,40;17.127,48
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50411000;Beihilf. u.a.taBesch;6,04;29,23;80,52;101,4
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50510000;Rückstellungen für Pensionsverpflichtung;47.597,21;99.994,70;52.963,00;134.346,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50610000;Rückstellungen für Beihilfen;16.106,71;23.755,69;14.122,00;25.321,00
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50710000;Zuf. Altersteilzeit Rückstellung Beamte;0;0;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50811000;RS Urlaub Beamte;-42,68;2.614,05;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50812000;RS Urlaub tarifl. Beschäftigte;856,44;766,43;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50813000;RS Überstunden Beamte;3.903,41;3.115,65;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50814000;RS Überstunden tarifl.Beschäftigte;1.104,64;201,99;0;0
50;Personalaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;50911000;Zuführ. Rückstellung Besoldungsnachzahlu;0;0;0;0
51;Versorgungsaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;51210000;Beitr. Versorgungsk. Versorgungsempfänge;668,95;1.168,51;2.249,16;1.429,92
51;Versorgungsaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;51410000;Beihilfen, Unterst. Versorgungsempfänger;0;0;42.789,36;23.788,44
51;Versorgungsaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;51510000;Zuf. Pensionsrückst. Versorgungsempf.;55.209,11;120.598,99;46.181,00;126.875,00
51;Versorgungsaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;51610000;Zuf. Beihilferückst. Versorgungsempf.;18.763,84;28.996,45;12.562,00;24.969,00
51;Versorgungsaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;51711000;Zuführ. Rückstellung Besoldungsnz. Verso;0;0;0;0
52;Aufwendungen für Sach- und Dienstleistungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;52550000;Unterhaltung des so. bewegl. Vermögens;0;0;0;0
52;Aufwendungen für Sach- und Dienstleistungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;52550013;Erwerb Vermögensgegenstände < 410 Euro;0;0;180;0
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53180058;Koordinierunsstelle Asyl;24.073,78;48.241,80;0;48.242,00
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53310001;Hilfe zum Lebensunterhalt;733.520,97;0;0;0
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53310003;Krankenhilfe;137.954,03;0;0;0
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53310004;Grundleistungen §3 AsylBLG;6.592.695,26;0;0;0
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53310005;Leistungen §4 AsylBLG;752.730,63;0;0;0
53;Transferaufwendungen;502; Leistungen für Asylbewerber ;2;1.100.05.02;53310006;Sonstige Leistungen §6 AsylBLG;137.645,37;0;0;0
