Einzelplan;EPL-Bezeichnung;Kapitel;Kap_Bezeichnung;Haushaltsstelle;Zweckbestimmung;Ansatz für 2017  (EUR);Ansatz für 2018  (EUR);E/A;TGr-Titel;TGR_Kurzbezeichnung;Funktion;Funktionenplan.Kurzbezeichnung;Aufgabenschlüssel;Aufgabenschlüssel.Kurzbezeichnung
01;Landtag;0101;Landtag;0101-443 01;Fürsorgeleistungen;16.000;16.000;A;0;;841;Beihilfen, Unterstützungen;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-453 01;Trennungsgeld oder -entschädigung, Umzugskostenvergütungen;4.000;4.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-511 01;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;439.000;422.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-511 99;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;54.000;54.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-514 01;Haltung von Dienstfahrzeugen und dgl.;35.000;35.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-517 01;Bewirtschaftung der Grundstücke, Gebäude und Räume;2.858.000;2.938.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-518 01;Mieten und Pachten für Grundstücke, Gebäude und Räume;97.000;92.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-518 02;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;76.000;77.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-518 98;Mieten und Pachten für Software;0;0;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-518 99;Mieten und Pachten für Hardware;0;0;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-519 01;Kleinere Unterhaltungsarbeiten an Grundstücken, Gebäuden und Räumen;150.000;250.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-523 01;Bibliotheken, Kunst- und wissenschaftliche Sammlungen;169.000;172.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-523 11;Erwerb und Unterhaltung von Kunstwerken für das Landtagsgebäude;3.000;3.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-525 01;Aus- und Fortbildung der Bediensteten;62.000;47.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-525 98;Aus- und Fortbildung der Bediensteten durch IT.N;0;0;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-525 99;Aus- und Fortbildung der Bediensteten;21.000;21.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-526 01;Ausgaben für Sachverständige;31.000;1.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-526 02;Gerichtskosten und ähnliche Ausgaben;2.000;2.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-526 03;Kommission gem. § 3 NAusfG zu Art. 10 GG;28.000;28.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-526 04;Beratung in Gestaltungsfragen zur Neukonzeption des Plenarsaalbereichs;15.000;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-526 61;Sachverständige;1.000;1.000;A;1;Internationale Ausschuss- und Präsidiumsreisen;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-527 01;Reisekostenvergütungen für Dienstreisen;33.000;33.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-527 02;Reisekostenvergütungen für Reisen in Personalvertretungsangelegenheiten und in Angelegenheiten schwerbehinderter Menschen;1.000;1.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-527 61;Reisekostenvergütungen für Dienstreisen;8.000;9.000;A;1;Internationale Ausschuss- und Präsidiumsreisen;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-529 11;Verfügungsmittel;44.000;44.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-531 01;Öffentlichkeitsarbeit und Einführung von Gruppen in die Arbeit des Parlaments;730.000;955.000;A;0;;013;Informationswesen;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-531 12;Verwendung der Zuschüsse Dritter;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-538 98;Ausgaben für Datenverarbeitung (Aufträge an IT.N);183.000;189.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-538 99;Ausgaben für Datenverarbeitung (Aufträge an Dritte);725.000;571.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-541 11;Ausgaben für die Durchführung von Landtagsausschusssitzungen;32.000;17.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung
01;Landtag;0101;Landtag;0101-541 12;Veranstaltungen des Landtages;97.000;102.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-546 01;Vermischte Ausgaben;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-546 02;Entschädigungs- und Ersatzleistungen an Dritte;1.000;1.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-546 03;Ausgaben für den Umzug und die Verlegung von Dienststellen;59.000;21.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-546 04;Ausgaben für den Kauf des Firmentickets;40.000;40.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-547 11;Dienstleistungen Außenstehender;317.000;173.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-547 61;Nicht aufteilbare sächliche Verwaltungsausgaben;1.000;1.000;A;1;Internationale Ausschuss- und Präsidiumsreisen;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-632 11;Erstattungen von Verwaltungsausgaben an Länder;12.000;12.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-671 99;Erstattung der Kosten für die Inanspruchnahme von Fremddatenbanken;12.000;12.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-681 11;Schadensersatzleistungen und Unfallentschädigungen;0;0;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-684 01;Staatliche Mittel für Parteien und Einzelbewerber;1.763.000;1.763.000;A;0;;011;Politische Führung;2910 0103;Staatliche Mittel für Parteien und Einzelbewerber 01;Landtag;0101;Landtag;0101-684 11;Zahlungen an die Fraktionen des Landtages;6.993.000;9.134.000;A;0;;011;Politische Führung;2910 0104;Zahlungen an die Fraktionen des Landtages 01;Landtag;0101;Landtag;0101-684 12;Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen (ohne öffentliche Einrichtungen);0;0;A;0;;011;Politische Führung;2999 9999;Provisorischer Aufgabenschlüssel zur vor- 01;Landtag;0101;Landtag;0101-686 11;Mitgliedsbeiträge an Vereine, Verbände und Gesellschaften;8.000;8.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-812 01;Erwerb von Geräten und sonstigen beweglichen Sachen;1.400.000;210.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-812 11;Erwerb von Kunstwerken für das Landtagsgebäude;94.000;8.000;A;0;;011;Politische Führung;2910 0105;Landtagsverwaltung 01;Landtag;0101;Landtag;0101-812 99;Erwerb von Geräten und Programmen;1.273.000;325.000;A;1;Kosten der Informations- und Kommuni-;011;Politische Führung;2910 0105;Landtagsverwaltung 02;Staatskanzlei;0201;Staatskanzlei;0201-119 01;Sonstige Verwaltungseinnahmen;3.000;3.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 02;Einnahmen aus Veröffentlichungen;14.000;13.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 03;Einnahmen aus Nebentätigkeiten;28.000;28.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 30;Abwicklung offener Posten aus dem Vorjahr;0;0;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 41;Rückzahlung überzahlter Beträge;1.000;1.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 46;Ersatzleistungen und andere Entschädigungen aus Versicherungsverträgen und von Privaten für Schäden;1.000;1.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-119 65;Sonstige Verwaltungseinnahmen;0;0;E;1;"Feierlichkeiten zum ""Tag der Deutschen Einheit""";011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-124 01;Einnahmen aus Vermietung, Verpachtung und sonstiger Nutzung;2.000;2.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-124 64;Einnahmen aus Vermietung, Verpachtung und sonstiger Nutzung;1.000;1.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-124 70;Einnahmen aus Vermietung, Verpachtung und sonstiger Nutzung;20.000;20.000;E;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration, 02;Staatskanzlei;0201;Staatskanzlei;0201-125 61;Einnahmen des Hauses der Landesregierung, sonstige Dienstleistungen;92.000;92.000;E;1;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-129 64;Erstattung von Umsatzsteuer;20.000;20.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-132 01;Einnahmen aus der Veräußerung von beweglichen Sachen;1.000;1.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-132 11;Einnahmen aus der Veräußerung von Fahrzeugen;0;0;E;0;;011;Politische Führung;2910 0201;Staatskanzlei 02;Staatskanzlei;0201;Staatskanzlei;0201-132 12;Einnahmen aus der Veräußerung von Gastgeschenken;1.000;1.000;E;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-231 64;Zuweisungen des Presse-und Informationsamtes der Bundesregierung zu staatsbürgerlichen Bildungsveranstaltungen der Landesvertretung;27.000;27.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-231 65;Zuweisungen vom Bund;0;0;E;1;"Feierlichkeiten zum ""Tag der Deutschen Einheit""";011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-232 64;Erstattungen anderer Länder für die gemeinsame Nutzung der Landesvertretung;204.000;204.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-281 64;Erstattungen Dritter für Veranstaltungen in der Landesvertretung;373.000;373.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-281 65;Erstattungen Dritter;0;0;E;1;"Feierlichkeiten zum ""Tag der Deutschen Einheit""";011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-281 70;Erstattungen Dritter für Veranstaltungen in der Landesvertretung;18.000;18.000;E;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-282 64;Sponsoringleistungen, Spenden und sonstige Zuschüsse aus dem Inland;180.000;180.000;E;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-282 65;Einnahmen aus Sponsoring;0;0;E;1;"Feierlichkeiten zum ""Tag der Deutschen Einheit""";011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-282 70;Sponsoringleistungen für Veranstaltungen;40.000;40.000;E;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-282 72;Zuschüsse Dritter für Bürgerschaftliches Engagement;0;0;E;1;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-412 11;Vergütung der Vorsitzenden der Einigungsstellen gem. § 71 Abs. 7 NPersVG;1.000;1.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-412 66;Aufwendungen für ehrenamtlich Tätige;50.000;50.000;A;1;Bündnis für Niedersachsen;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-421 01;Bezüge der Ministerpräsidentin, des Ministerpräsidenten, der Ministerinnen und Minister;205.000;208.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-421 02;Bezüge der Ministerpräsidentin, des Ministerpräsidenten, der Ministerinnen und Minister - Übergang;0;0;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-422 01;Bezüge und Nebenleistungen der Beamtinnen, Beamten, Richterinnen und Richter;17.762.000;18.093.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-422 19;Altersteilzeitzuschläge;0;0;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-427 01;Beschäftigungsentgelte, Vergütungen, Honorare für nebenamtlich und nebenberuflich Tätige;1.000;1.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-427 39;Beschäftigungsentgelte für Ersatzkräfte für Landesbedienstete in Mutterschutz;0;0;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-427 61;Beschäftigungsentgelte für Aushilfskräfte;0;0;A;1;Bewirtschaftung des Hauses der LReG;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-428 01;Entgelte der Arbeitnehmerinnen und Arbeitnehmer (Beschäftigte);0;0;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-428 04;Entgelte für Auszubildende;32.000;32.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-428 06;Mehrarbeits- und Überstundenentgelt sowie Zeitzuschläge für Überstunden;1.000;1.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-429 70;Nicht aufteilbare Personalausgaben;361.000;368.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-441 01;Beihilfen für Beamtinnen, Beamte, Richterinnen und Richter;496.000;509.000;A;0;;841;Beihilfen, Unterstützungen;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-441 04;Beihilfen für Sonstige (z. B. Abgeordnete, Ministerinnen und Minister);0;0;A;0;;841;Beihilfen, Unterstützungen;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-441 05;Beihilfen für Arbeitnehmerinnen und Arbeitnehmer;1.000;1.000;A;0;;841;Beihilfen, Unterstützungen;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-443 01;Fürsorgeleistungen;25.000;25.000;A;0;;841;Beihilfen, Unterstützungen;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-453 01;Trennungsgeld oder -entschädigung, Umzugskostenvergütungen;136.000;136.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-459 70;Sonstige personalbezogene Ausgaben;4.000;4.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-511 01;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;294.000;310.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-511 61;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;24.000;24.000;A;1;Bewirtschaftung des Hauses der LReG;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-511 64;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;106.000;112.000;A;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-511 65;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;0;0;A;1;"Feierlichkeiten zum ""Tag der Deutschen Einheit""";011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-511 70;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;25.000;25.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-511 72;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;2.000;2.000;A;1;Bürgerschaftliches Engagement;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-511 99;Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände;60.000;60.000;A;1;Kosten der Informations- und;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-514 01;Haltung von Dienstfahrzeugen und dgl.;58.000;58.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-514 61;Verbrauchsmittel;49.000;49.000;A;1;Bewirtschaftung des Hauses der LReG;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-514 64;Haltung von Dienstfahrzeugen und dgl.;12.000;12.000;A;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-514 70;Haltung von Dienstfahrzeugen und dgl.;3.000;3.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-514 99;Verbrauchsmittel;42.000;42.000;A;1;Kosten der Informations- und;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-517 01;Bewirtschaftung der Grundstücke, Gebäude und Räume;457.000;457.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-517 61;Bewirtschaftung der Grundstücke, Gebäude und Räume;75.000;75.000;A;1;Bewirtschaftung des Hauses der LReG;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-517 64;Bewirtschaftung der Grundstücke, Gebäude und Räume;487.000;487.000;A;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-517 70;Bewirtschaftung der Grundstücke, Gebäude und Räume;137.000;138.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-518 01;Mieten und Pachten für Grundstücke, Gebäude und Räume;350.000;350.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-518 02;Mieten und Pachten für Maschinen, Geräte und Fahrzeuge;63.000;63.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-518 64;Mieten und Pachten;10.000;10.000;A;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-518 70;Mieten und Pachten;9.000;9.000;A;1;Vertretung des Landes Nds. LV Brüssel;011;Politische Führung;2910 0212;Unterstützung der europäischen Integration,
02;Staatskanzlei;0201;Staatskanzlei;0201-518 98;Mieten und Pachten für Hard- und Software an IT.N;22.000;22.000;A;1;Kosten der Informations- und;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-518 99;Anmietung von Hard- und Software von Anderen;1.000;1.000;A;1;Kosten der Informations- und;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-519 01;Kleinere Unterhaltungsarbeiten an Grundstücken, Gebäuden und Räumen;15.000;15.000;A;0;;011;Politische Führung;2910 0201;Staatskanzlei
02;Staatskanzlei;0201;Staatskanzlei;0201-519 64;Kleinere Unterhaltungsarbeiten an Grundstücken, Gebäuden und Räumen;20.000;20.000;A;1;Vertretung des Landes Nds. LV Berlin;011;Politische Führung;2910 0201;Staatskanzlei
